evaluation,token,table,scene,metric,value,status,protocol_id,surface_id,source_json,json_pointer
static_dev,CROVE_FINE_ROOM0_DEV_MIOU,T1_DEV,room0,miou,0.4478886892216835,RECOMPUTED,crove_fine_current_map_v1_replica_room0_dev,crove-fine-room0-s2_reliable_surface_owner_fallback,metrics_summary.json,/static_dev/trials/s2_reliable_surface_owner_fallback/miou
static_dev,CROVE_FINE_ROOM0_DEV_MACC,T1_DEV,room0,macc,0.5110995197273775,RECOMPUTED,crove_fine_current_map_v1_replica_room0_dev,crove-fine-room0-s2_reliable_surface_owner_fallback,metrics_summary.json,/static_dev/trials/s2_reliable_surface_owner_fallback/macc
static_dev,CROVE_FINE_ROOM0_DEV_F_MIOU,T1_DEV,room0,f_miou,0.6735732880414708,RECOMPUTED,crove_fine_current_map_v1_replica_room0_dev,crove-fine-room0-s2_reliable_surface_owner_fallback,metrics_summary.json,/static_dev/trials/s2_reliable_surface_owner_fallback/f_miou
static_dev,CROVE_FINE_ROOM0_DEV_AP25,T1_DEV,room0,ap25,0.5626407670585036,RECOMPUTED,crove_fine_current_map_v1_replica_room0_dev,crove-fine-room0-s2_reliable_surface_owner_fallback,metrics_summary.json,/static_dev/trials/s2_reliable_surface_owner_fallback/ap25
static_dev,CROVE_FINE_ROOM0_DEV_AP50,T1_DEV,room0,ap50,0.470710638947717,RECOMPUTED,crove_fine_current_map_v1_replica_room0_dev,crove-fine-room0-s2_reliable_surface_owner_fallback,metrics_summary.json,/static_dev/trials/s2_reliable_surface_owner_fallback/ap50
static_dev,CROVE_FINE_ROOM0_DEV_F5,T1_DEV,room0,f5,0.9352861616716538,RECOMPUTED,crove_fine_current_map_v1_replica_room0_dev,crove-fine-room0-s2_reliable_surface_owner_fallback,metrics_summary.json,/static_dev/trials/s2_reliable_surface_owner_fallback/f5
dynamic_dev,CROVE_FINE_APARTMENT_TWO_VISIT_DEV_CURRENT_MIOU,T2_TWO_VISIT_DEV,apartment,current_miou,0.1358861592620667,RECOMPUTED,CROVE_FINE_CURRENT_MAP_V1_TESSE_APARTMENT_DEV,crove-fine-apartment-b3_legacy,metrics_summary.json,/dynamic_dev/trials/B3_LEGACY/current_miou
dynamic_dev,CROVE_FINE_APARTMENT_TWO_VISIT_DEV_GHOST,T2_TWO_VISIT_DEV,apartment,ghost,0.0,RECOMPUTED,CROVE_FINE_CURRENT_MAP_V1_TESSE_APARTMENT_DEV,crove-fine-apartment-b3_legacy,metrics_summary.json,/dynamic_dev/trials/B3_LEGACY/ghost
dynamic_dev,CROVE_FINE_APARTMENT_TWO_VISIT_DEV_BACKGROUND_F1_AT_5CM,T2_TWO_VISIT_DEV,apartment,background_f1_at_5cm,0.36636000976960026,RECOMPUTED,CROVE_FINE_CURRENT_MAP_V1_TESSE_APARTMENT_DEV,crove-fine-apartment-b3_legacy,metrics_summary.json,/dynamic_dev/trials/B3_LEGACY/background_f1_at_5cm
dynamic_dev,CROVE_FINE_APARTMENT_TWO_VISIT_DEV_SURFACE_PRECISION_AT_5CM,T2_TWO_VISIT_DEV,apartment,surface_precision_at_5cm,0.7344127781521915,RECOMPUTED,CROVE_FINE_CURRENT_MAP_V1_TESSE_APARTMENT_DEV,crove-fine-apartment-b3_legacy,metrics_summary.json,/dynamic_dev/trials/B3_LEGACY/surface_precision_at_5cm
