run_id,method_id,checkpoint_id,training_updates,environment,pair,visit,evaluation_domain,gt_instance_id,semantic_label,full_surface_support,common_support_fraction,included_in_evaluation_domain,raw_best_query_id,raw_best_iou,query_score,eligible_best_query_id,eligible_best_iou,exclusive_query_best_iou,final_best_iou,raw_query_survives_threshold,survived_point_fraction,final_tp_match_id,residual_involvement,classification
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,14,wall,96,0.0,True,,0.0,,,0.0,0.0,0.005499541704857928,False,,,True,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,17,plant,22,0.045454545454545456,True,28,0.015151515151515152,0.0005479165120050311,84,0.014285714285714285,0.014285714285714285,0.014285714285714285,False,0.0,,False,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,1,floor,1574,0.45806861499364676,True,96,0.001597444089456869,0.9818839430809021,96,0.001597444089456869,0.001597444089456869,0.334561080417434,True,1.0,,True,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,2,armchair,587,0.37649063032367974,True,96,0.4087301587301587,0.9818839430809021,96,0.4087301587301587,0.4087301587301587,0.4087301587301587,True,1.0,,False,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,3,pillow,158,0.6075949367088608,True,,0.0,,,0.0,0.0,0.5251798561151079,False,,,True,raw_regression
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,4,side table,153,0.0,False,,0.0,,,0.0,0.0,0.0,False,,,False,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,5,cupboard,882,0.2619047619047619,True,36,0.3041168658698539,8.957499812822789e-05,99,0.2954838709677419,0.2954838709677419,0.2954838709677419,False,0.0,,False,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,6,shelf,3393,0.13645741231948127,True,0,0.08678102926337034,0.00013807849609293044,,0.0,0.0,0.31105990783410137,False,0.0,,True,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,7,wall,1258,0.4149443561208267,True,,0.0,,,0.0,0.0,0.3737796373779637,False,,,True,support_limited|raw_regression|below_50
20260908_scene0109_obs_base_frozen_v2_domains,OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,8,commode,110,0.0,False,,0.0,,,0.0,0.0,0.0,False,,,False,support_limited|raw_regression|below_50
