run_id,method_id,checkpoint_id,training_updates,environment,pair,visit,evaluation_domain,stage,prediction_count,target_count,maximum_valid_pairs_50,maximum_valid_pairs_25,best_iou_mean,ar50,ar25,tp50,fp50,fn50,f1_50,tp25,fp25,fn25,f1_25
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R3_FINAL_MAP,32,14,0,2,0.11458498281459359,0.0,0.14285714285714285,0,32,14,0.0,2,30,12,0.08695652173913043
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R0_RAW_ALL,51,14,0,0,0.04692046504105085,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R1_ELIGIBLE,3,14,0,0,0.036608148303487555,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R2_EXCLUSIVE_QUERY,3,14,0,0,0.036382462772909005,0.0,0.0,0,3,14,0.0,0,3,14,0.0
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R3_FINAL_MAP,23,14,0,2,0.1162214223250597,0.0,0.14285714285714285,0,23,14,0.0,2,21,12,0.10810810810810811
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R0_RAW_ALL,49,12,1,7,0.25025904630193146,0.08333333333333333,0.5833333333333334,,,,,,,,
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R1_ELIGIBLE,3,12,1,3,0.134875443956214,0.08333333333333333,0.25,,,,,,,,
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R2_EXCLUSIVE_QUERY,3,12,1,3,0.134875443956214,0.08333333333333333,0.25,1,2,11,0.13333333333333333,3,0,9,0.4
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R3_FINAL_MAP,27,12,2,5,0.25986400869404513,0.16666666666666666,0.4166666666666667,2,25,10,0.10256410256410256,5,22,7,0.2564102564102564
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R0_RAW_ALL,51,10,1,3,0.1701511023647019,0.1,0.3,,,,,,,,
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R1_ELIGIBLE,3,10,1,3,0.13299817557085977,0.1,0.3,,,,,,,,
