optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,optimizer_group_1_gradient_norm,all_gradients_finite
201,22.575471878051758,0.0037076850421726704,0.02607017755508423,0.5729925632476807,2.1548354625701904,1.9585087299346924,22.608856201171875,14.471205711364746,0.9959005942042685,0.09045350833113022,True
202,22.847394943237305,0.003217067802324891,0.025876332074403763,0.5604044795036316,2.184131622314453,1.8803155422210693,22.64536476135254,71.75992584228516,0.9993070863001876,0.03721911158181176,True
203,22.391983032226562,0.002841455163434148,0.02643613889813423,0.5603381991386414,2.164288282394409,2.0002880096435547,22.427449226379395,11.912565231323242,0.9944728962232479,0.10499330690054534,True
204,22.48451042175293,0.0033104857429862022,0.025933891534805298,0.557832658290863,2.1663482189178467,2.035505533218384,22.488574981689453,13.592562675476074,0.9957979681838999,0.09157669317576089,True
205,22.46448516845703,0.003937256522476673,0.025145692750811577,0.5547276735305786,2.167618989944458,2.052443742752075,22.495771408081055,20.309480667114258,0.9944965852067914,0.1047678831389387,True
206,22.322036743164062,0.0031314382795244455,0.025593433529138565,0.5569493174552917,2.1556007862091064,1.8375096321105957,22.367186546325684,10.051519393920898,0.984936508974845,0.1729159508093164,True
207,22.37098503112793,0.005169352516531944,0.024941101670265198,0.5535279512405396,2.1515896320343018,1.945253610610962,22.39378833770752,10.7979154586792,0.9917385506284374,0.1282747464158202,True
208,22.371458053588867,0.003196327481418848,0.025657666847109795,0.5620579719543457,2.154214382171631,1.9825527667999268,22.421396255493164,19.150421142578125,0.9956824375480374,0.09282430789549183,True
209,22.2969913482666,0.003091266145929694,0.026776853948831558,0.5508779883384705,2.15101957321167,1.7994177341461182,22.486906051635742,54.65142822265625,0.9954588198870016,0.09519433166392745,True
210,22.265344619750977,0.0031369407661259174,0.025297019630670547,0.5552882552146912,2.1453075408935547,2.0507616996765137,22.2685489654541,9.697896957397461,0.9904612980741694,0.13779027230619212,True
211,22.33257484436035,0.003212211886420846,0.025864679366350174,0.5631468892097473,2.1503422260284424,1.8331105709075928,22.32021713256836,9.128061294555664,0.9873802919588858,0.15836665158010094,True
212,22.2747745513916,0.0032225672621279955,0.02521662972867489,0.5498363375663757,2.163675308227539,1.8564034700393677,22.25978660583496,9.87857437133789,0.9907267723496307,0.1358683526769679,True
213,22.276391983032227,0.0032342150807380676,0.02560047246515751,0.5463659167289734,2.1558899879455566,1.8553115129470825,22.21356964111328,13.924076080322266,0.996140288012407,0.08777431393145246,True
214,22.250417709350586,0.0030151461251080036,0.024420693516731262,0.5508886575698853,2.1604983806610107,2.034468650817871,22.232272148132324,19.412076950073242,0.9976499033119786,0.06851594163425369,True
215,22.125577926635742,0.0032380511984229088,0.025291064754128456,0.5476512908935547,2.1507973670959473,1.7787740230560303,22.179781913757324,9.775373458862305,0.9846116300851623,0.17475658360498555,True
216,22.323434829711914,0.003413714934140444,0.025339895859360695,0.5505775809288025,2.151233196258545,1.7726719379425049,22.304564476013184,18.20584487915039,0.9936686453939508,0.1123491670632579,True
217,22.236919403076172,0.0036713213194161654,0.024755051359534264,0.5550171732902527,2.165677547454834,1.7630013227462769,22.19630718231201,17.744935989379883,0.9931981747490853,0.11643551047699274,True
218,22.079612731933594,0.00378546305000782,0.023950641974806786,0.5534114837646484,2.151744842529297,1.7886253595352173,22.109633445739746,9.632596969604492,0.9905053902860382,0.13747350495466917,True
219,22.087677001953125,0.0029882669914513826,0.02562025561928749,0.5408323407173157,2.152977466583252,1.8159769773483276,22.215731620788574,11.756534576416016,0.9944268035716608,0.10542850527008879,True
220,22.361385345458984,0.0030872183851897717,0.024375921115279198,0.5445234179496765,2.148893117904663,1.8754537105560303,22.32512855529785,244.5084686279297,0.9937561925519043,0.11157379457783768,True
221,22.132299423217773,0.0031838081777095795,0.02544214203953743,0.5426878333091736,2.146677255630493,1.9546900987625122,22.128692626953125,12.570511817932129,0.9969656340583891,0.07784228825289952,True
222,22.098983764648438,0.003281669458374381,0.024079149588942528,0.5463007092475891,2.150625705718994,1.9305436611175537,22.189549446105957,12.66463565826416,0.9926396396865265,0.12110526964456773,True
223,22.07567596435547,0.003324715653434396,0.023901665583252907,0.550528347492218,2.1400508880615234,1.9697988033294678,22.03872585296631,10.945985794067383,0.9904195567836487,0.13809031543538644,True
224,22.045684814453125,0.0028664343990385532,0.024102656170725822,0.5460282564163208,2.144352674484253,1.9195427894592285,22.11197566986084,10.095126152038574,0.9937482007072453,0.11164335558943933,True
225,22.24608612060547,0.004784035962074995,0.02384498529136181,0.5497199296951294,2.163186550140381,1.866152286529541,22.21647548675537,18.246047973632812,0.9984948614275229,0.054842510136653234,True
226,22.04679298400879,0.003579173469915986,0.024251729249954224,0.5531635284423828,2.1527490615844727,2.082078218460083,22.155120849609375,23.91867446899414,0.997839745097494,0.06569385574687275,True
227,22.108739852905273,0.0036023391876369715,0.024618908762931824,0.5447983741760254,2.1557164192199707,2.1473476886749268,22.147887229919434,27.61907196044922,0.9871999301443051,0.15948751632926567,True
228,22.353248596191406,0.003519226098433137,0.024673370644450188,0.5395374298095703,2.179107427597046,1.9080054759979248,22.215879440307617,34.55784606933594,0.9979305367772703,0.0643005051318874,True
229,22.12639617919922,0.0034821834415197372,0.024319851770997047,0.5562278628349304,2.15108060836792,2.1353561878204346,22.113207817077637,12.475317001342773,0.9977486054238666,0.06706417960266405,True
230,22.283790588378906,0.0032398435287177563,0.025568878278136253,0.5459964275360107,2.1585421562194824,2.034919261932373,22.23374080657959,13.999999046325684,0.9953793617292196,0.09602016635443911,True
231,22.53215980529785,0.003538768971338868,0.026353824883699417,0.5472661852836609,2.169595956802368,2.1377439498901367,22.225360870361328,29.554473876953125,0.9964572229752614,0.08409964817719388,True
232,22.13514518737793,0.0038520926609635353,0.02488665282726288,0.5460667610168457,2.1619155406951904,1.9491803646087646,22.178318977355957,41.094512939453125,0.9987593929858766,0.04979791168716254,True
233,22.05796241760254,0.003546599531546235,0.025976598262786865,0.5425410866737366,2.1438217163085938,2.110157012939453,22.042506217956543,11.56242847442627,0.9946123913068635,0.10366377771950608,True
234,22.149330139160156,0.003720740554854274,0.02472768910229206,0.541715145111084,2.158170461654663,1.856906771659851,22.149581909179688,104.32853698730469,0.9995053542999838,0.031449774489560406,True
235,22.085485458374023,0.003629187121987343,0.024290524423122406,0.5477505922317505,2.1630313396453857,1.8551645278930664,22.074796676635742,12.175641059875488,0.9940118411781282,0.10927144757229462,True
236,21.955354690551758,0.004611375275999308,0.02535403147339821,0.5371428728103638,2.153934955596924,1.8027963638305664,21.953179359436035,16.938037872314453,0.993650432402622,0.11251140049042946,True
237,21.989709854125977,0.002982714446261525,0.02507876232266426,0.5345281958580017,2.150949478149414,1.8415452241897583,22.007999420166016,20.726953506469727,0.9968418855478556,0.07941095662905132,True
238,22.026025772094727,0.0035424446687102318,0.02560463361442089,0.5420948266983032,2.1460206508636475,1.9380295276641846,22.002366065979004,187.09246826171875,0.9884900420894889,0.15128584888312321,True
239,21.89364242553711,0.00306335580535233,0.024212872609496117,0.5440227389335632,2.1473822593688965,1.8255555629730225,21.878710746765137,15.581212997436523,0.9960365963391686,0.08894453623917817,True
240,21.852134704589844,0.004364401567727327,0.024675503373146057,0.544481098651886,2.1445987224578857,1.8216371536254883,21.86427402496338,13.699779510498047,0.9947722443214645,0.10211685541980639,True
241,21.820777893066406,0.003038538619875908,0.024038614705204964,0.5374554991722107,2.141841173171997,1.7640804052352905,21.88107395172119,12.868483543395996,0.9915492039660191,0.1297307642994705,True
242,21.868892669677734,0.0035893963649868965,0.024109074845910072,0.5400320887565613,2.1352102756500244,1.7970540523529053,21.8502836227417,13.245396614074707,0.9842932111942908,0.1765411019082823,True
243,21.794883728027344,0.004259783774614334,0.022977953776717186,0.5294346213340759,2.1433730125427246,1.753426194190979,21.870365142822266,13.664459228515625,0.9938112588919263,0.11108065437840789,True
244,21.89518165588379,0.003683839226141572,0.024862071499228477,0.5272594690322876,2.1604411602020264,1.8136842250823975,21.797042846679688,41.00682067871094,0.99290262571253,0.11892975520760944,True
245,21.859437942504883,0.004293136298656464,0.024618489667773247,0.5360788702964783,2.1499106884002686,1.8267902135849,21.838829040527344,20.06733512878418,0.9979531893551692,0.0639471156380615,True
246,21.75834083557129,0.004004898946732283,0.025127414613962173,0.5378854870796204,2.1412899494171143,1.8272708654403687,21.85862636566162,32.279911041259766,0.9963266000766376,0.08563457919776953,True
247,21.743925094604492,0.005162808578461409,0.02494279108941555,0.5334290862083435,2.1402692794799805,1.7624154090881348,21.8729248046875,13.93741226196289,0.9955635725113847,0.09409021540008325,True
248,21.89549446105957,0.0034878775477409363,0.02326931431889534,0.5379210710525513,2.1502811908721924,1.807471752166748,21.88752269744873,41.5353889465332,0.9994618319124425,0.03280291564330558,True
249,21.82428741455078,0.004353759810328484,0.023317737504839897,0.5322585105895996,2.1435585021972656,1.7841120958328247,21.87017059326172,15.316814422607422,0.9909780320531592,0.1340241716424427,True
250,21.923795700073242,0.003451963886618614,0.02684335969388485,0.5371018648147583,2.15077543258667,1.7828037738800049,21.853437423706055,507.68963623046875,0.9966645738091257,0.08160758929559989,True
251,21.74859046936035,0.003883569035679102,0.02390633523464203,0.5316247940063477,2.140962839126587,1.7368203401565552,21.806476593017578,13.84204387664795,0.9979613531270546,0.06381956430152977,True
252,21.824954986572266,0.0059000407345592976,0.025690097361803055,0.5452813506126404,2.135206699371338,1.9835965633392334,21.779987335205078,17.191638946533203,0.9949933435362915,0.09993987364480697,True
253,21.92429542541504,0.004017870873212814,0.025851869955658913,0.5568272471427917,2.1447670459747314,1.8861186504364014,21.841330528259277,24.059295654296875,0.9891037408466643,0.1472200178442823,True
254,21.907859802246094,0.00421095872297883,0.02493533305823803,0.533367931842804,2.153702735900879,1.9931222200393677,21.9907808303833,120.80242156982422,0.9945648694986461,0.10411881209696759,True
255,21.847225189208984,0.0039016962982714176,0.024177594110369682,0.534561276435852,2.139248847961426,1.9831032752990723,21.817768096923828,12.199782371520996,0.9957516116494843,0.09207983936572973,True
256,21.847627639770508,0.00390846049413085,0.024679115042090416,0.5336782932281494,2.129774570465088,2.0082011222839355,21.785463333129883,13.30267333984375,0.994974841253686,0.10012461057850787,True
257,21.616226196289062,0.003705466166138649,0.02315654791891575,0.52947598695755,2.1383159160614014,1.8282815217971802,21.710891723632812,14.510931968688965,0.9957797405265509,0.09177507181080864,True
258,21.695646286010742,0.0038093305192887783,0.02371877431869507,0.5262373089790344,2.1209468841552734,2.204045534133911,21.74894618988037,14.353011131286621,0.9962654875660941,0.08634204802953352,True
259,21.75238037109375,0.0036293191369622946,0.023816639557480812,0.5303955078125,2.1338131427764893,1.911028265953064,21.72659969329834,14.95551872253418,0.9947384116216013,0.1024471064878019,True
260,21.75345230102539,0.0033474985975772142,0.02444426529109478,0.5314112901687622,2.117199182510376,2.2617855072021484,21.737868309020996,18.44169807434082,0.9877767193445495,0.1558745333243055,True
261,21.728050231933594,0.005450282711535692,0.02329888753592968,0.5283831357955933,2.1486175060272217,1.8546359539031982,21.67766284942627,15.75936508178711,0.99620503991498,0.08703714449068303,True
262,21.86005401611328,0.009108536876738071,0.02475500851869583,0.5315665006637573,2.1322646141052246,1.895254373550415,21.715420722961426,11.384730339050293,0.9906445265920714,0.13646689054951494,True
263,21.778303146362305,0.0030488574411720037,0.023546647280454636,0.5269075036048889,2.1410367488861084,1.909622311592102,21.67007541656494,63.802581787109375,0.998936357690094,0.0461102851946656,True
264,21.571186065673828,0.0031611761078238487,0.023899313062429428,0.5381951332092285,2.1211063861846924,1.78749680519104,21.678072929382324,19.538639068603516,0.9961729226131966,0.0874032020912683,True
265,21.67026138305664,0.002624677261337638,0.02427079901099205,0.5305303931236267,2.1460108757019043,1.9630708694458008,21.663850784301758,18.302663803100586,0.9947188926186331,0.1026358051675701,True
266,21.72282600402832,0.003799143945798278,0.02392089180648327,0.5227212905883789,2.137023687362671,1.748433232307434,21.643925666809082,19.79275894165039,0.9982642993241043,0.05889099275896524,True
267,21.934911727905273,0.0035542952828109264,0.022871965542435646,0.5273253321647644,2.1515464782714844,1.9551869630813599,21.76872158050537,18.712215423583984,0.9972669259271765,0.07388233398868797,True
268,21.68659019470215,0.0036195137072354555,0.02415938675403595,0.5275945663452148,2.1252174377441406,1.8705531358718872,21.642741203308105,13.032551765441895,0.995770811160003,0.09187066241144977,True
