pair,visit,method,evaluation_domain,tp_at_050,fp_at_050,fn_at_050,precision_at_050,recall_at_050,f1_at_050,fragment_gt_count_at_050,merge_prediction_count_at_050,duplicate_prediction_count_at_050,mean_matched_iou_at_050,tp_at_025,fp_at_025,fn_at_025,precision_at_025,recall_at_025,f1_at_025,fragment_gt_count_at_025,merge_prediction_count_at_025,duplicate_prediction_count_at_025,mean_matched_iou_at_025,raw_candidate_count,final_instance_count,split_parent_count,merged_candidate_count,query_owned_fraction,residual_fraction,background_fraction,unknown_fraction,source_point_count,final_point_count,geometric_change_count,method_view_sha256
scene0109_00-scene0109_01,0,P0,full,0,29,14,0.0,0.0,0.0,0,0,0,,1,28,13,0.034482758620689655,0.07142857142857142,0.046511627906976744,0,0,0,0.39766081871345027,29,29,0,0,0.0,0.9863163936403949,0.013683606359605029,0.0,820617,820617,0,223525647c308cb3412a4eed7b83b116137468c0b7ba56691a5d13e55b0f2d0d
scene0109_00-scene0109_01,1,P0,full,0,21,14,0.0,0.0,0.0,0,0,0,,3,18,11,0.14285714285714285,0.21428571428571427,0.17142857142857143,0,0,0,0.29284231156311247,21,21,0,0,0.0,0.9664260925335828,0.03357390746641722,0.0,788946,788946,0,223525647c308cb3412a4eed7b83b116137468c0b7ba56691a5d13e55b0f2d0d
scene0109_00-scene0109_01,0,P1,full,0,26,14,0.0,0.0,0.0,0,0,0,,2,24,12,0.07692307692307693,0.14285714285714285,0.1,0,0,0,0.33495606380698695,29,26,0,2,0.0,0.9863163936403949,0.013683606359605029,0.0,820617,820617,0,6e7889932065c40320cdca3cb039f729168854a65b679dfdf2cf1ed960f99c84
scene0109_00-scene0109_01,1,P1,full,0,20,14,0.0,0.0,0.0,0,0,0,,3,17,11,0.15,0.21428571428571427,0.1764705882352941,0,0,0,0.29284231156311247,21,20,0,1,0.0,0.9664260925335828,0.03357390746641722,0.0,788946,788946,0,6e7889932065c40320cdca3cb039f729168854a65b679dfdf2cf1ed960f99c84
scene0109_00-scene0109_01,0,P2,full,0,31,14,0.0,0.0,0.0,0,0,0,,2,29,12,0.06451612903225806,0.14285714285714285,0.08888888888888889,0,0,0,0.3327101907774902,83,31,5,2,0.041281133586069996,0.945035260054325,0.013683606359605029,0.0,820617,820617,0,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e
scene0109_00-scene0109_01,1,P2,full,0,22,14,0.0,0.0,0.0,0,0,0,,2,20,12,0.09090909090909091,0.14285714285714285,0.1111111111111111,0,0,0,0.3096551724137931,65,22,4,2,0.20474024838201854,0.7616858441515643,0.03357390746641722,0.0,788946,788946,0,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e
scene0359_00-scene0359_01,0,P0,full,0,11,9,0.0,0.0,0.0,0,0,0,,4,7,5,0.36363636363636365,0.4444444444444444,0.39999999999999997,0,0,0,0.3007784302725472,11,11,0,0,0.0,1.0,0.0,0.0,1419750,1419750,0,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57
scene0359_00-scene0359_01,1,P0,full,0,12,9,0.0,0.0,0.0,0,0,0,,0,12,9,0.0,0.0,0.0,0,0,0,,12,12,0,0,0.0,1.0,0.0,0.0,1027251,1027251,0,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57
scene0359_00-scene0359_01,0,P1,full,0,9,9,0.0,0.0,0.0,0,0,0,,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,0,0,0.3007784302725472,11,9,0,1,0.0,1.0,0.0,0.0,1419750,1419750,0,3e29109083c4b88f6846e23244623e8c1eb72c340f75149e3b66575b66b36c1f
scene0359_00-scene0359_01,1,P1,full,0,10,9,0.0,0.0,0.0,0,0,0,,0,10,9,0.0,0.0,0.0,0,0,0,,12,10,0,1,0.0,1.0,0.0,0.0,1027251,1027251,0,3e29109083c4b88f6846e23244623e8c1eb72c340f75149e3b66575b66b36c1f
scene0359_00-scene0359_01,0,P2,full,0,14,9,0.0,0.0,0.0,0,0,0,,2,12,7,0.14285714285714285,0.2222222222222222,0.17391304347826086,0,0,0,0.3416357262217451,62,14,5,1,0.03954428596583905,0.960455714034161,0.0,0.0,1419750,1419750,0,f2e807e25b298c86d6baf183b7b482d14e923b49b28de5e819d4e28107b92f94
scene0359_00-scene0359_01,1,P2,full,0,15,9,0.0,0.0,0.0,0,0,0,,0,15,9,0.0,0.0,0.0,0,0,0,,52,15,5,1,0.028761227781720338,0.9712387722182797,0.0,0.0,1027251,1027251,0,f2e807e25b298c86d6baf183b7b482d14e923b49b28de5e819d4e28107b92f94
scene0459_00-scene0459_01,0,P0,full,0,122,59,0.0,0.0,0.0,0,0,0,,12,110,47,0.09836065573770492,0.2033898305084746,0.13259668508287292,0,0,0,0.30325521648762405,122,122,0,0,0.0,0.9966748811399949,0.0033251188600050773,0.0,6483678,6483678,0,b2421df8314a8bbde11be85a88978d7c812e50af3669a15b0b7a27d2a9c5c217
scene0459_00-scene0459_01,1,P0,full,0,116,59,0.0,0.0,0.0,0,0,0,,8,108,51,0.06896551724137931,0.13559322033898305,0.09142857142857143,0,0,0,0.33474521108806365,116,116,0,0,0.0,0.9998266825904271,0.00017331740957298163,0.0,5596668,5596668,0,b2421df8314a8bbde11be85a88978d7c812e50af3669a15b0b7a27d2a9c5c217
scene0459_00-scene0459_01,0,P1,full,0,106,59,0.0,0.0,0.0,0,0,0,,10,96,49,0.09433962264150944,0.1694915254237288,0.12121212121212123,0,0,0,0.3001183928395279,122,106,0,7,0.0,0.9966748811399949,0.0033251188600050773,0.0,6483678,6483678,0,9ba328ec76fe25acfed883d9dbe1b9b54890b33eeea9ac75b44a80da16b21063
scene0459_00-scene0459_01,1,P1,full,0,97,59,0.0,0.0,0.0,0,0,0,,9,88,50,0.09278350515463918,0.15254237288135594,0.11538461538461539,0,0,0,0.32026055607305903,116,97,0,12,0.0,0.9998266825904271,0.00017331740957298163,0.0,5596668,5596668,0,9ba328ec76fe25acfed883d9dbe1b9b54890b33eeea9ac75b44a80da16b21063
scene0459_00-scene0459_01,0,P2,full,0,145,59,0.0,0.0,0.0,0,0,0,,10,135,49,0.06896551724137931,0.1694915254237288,0.09803921568627451,0,0,0,0.3136833742023294,87,145,55,19,0.16472625568388807,0.8319486254561068,0.0033251188600050773,0.0,6483678,6483678,0,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210
scene0459_00-scene0459_01,1,P2,full,0,138,59,0.0,0.0,0.0,0,0,0,,9,129,50,0.06521739130434782,0.15254237288135594,0.09137055837563453,1,0,1,0.3196608028677574,74,138,52,17,0.20664277387902946,0.7931839087113975,0.00017331740957298163,0.0,5596668,5596668,0,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210
