schema_version,protocol_id,status,pair,method,support_domain,iou_threshold,method_view_sha256,binding_sha256,paired_prediction_count,ambiguous_identity_count,true_positive_count,false_positive_count,endpoint_failure_count,false_reid_count,same_class_mismatch_count,duplicate_count,precision,persistent_gt_count,end_to_end_recall,conditional_gt_count,conditional_recall,conditional_status,rigid_gt_count,rigid_recall
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,G_full,full,0.5,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,d8ea625b2371365633e3e2624a0e2275e410b0cc6aa9df9bf88d703384abdc4e,22,0,0,22,22,0,0,0,0.0,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,G_full,full,0.25,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,d8ea625b2371365633e3e2624a0e2275e410b0cc6aa9df9bf88d703384abdc4e,22,0,1,21,21,0,0,0,0.045454545454545456,13,0.07692307692307693,1,1.0,PASS,3,0.3333333333333333
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,G_supported,supported,0.5,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,19,0,0,19,19,0,0,0,0.0,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,G_supported,supported,0.25,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,19,0,1,18,18,0,0,0,0.05263157894736842,13,0.07692307692307693,1,1.0,PASS,3,0.3333333333333333
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,F_obj,supported,0.5,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,17,0,0,17,17,0,0,0,0.0,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,F_obj,supported,0.25,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,17,0,0,17,17,0,0,0,0.0,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,R_obj,supported,0.5,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,1,0,0,1,1,0,0,0,0.0,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0109_00-scene0109_01,R_obj,supported,0.25,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,1,0,0,1,1,0,0,0,0.0,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0359_00-scene0359_01,G_full,full,0.5,f2e807e25b298c86d6baf183b7b482d14e923b49b28de5e819d4e28107b92f94,fbc18eefc9f54388c8b72bddd527fc193efba83ebdc8a8270e4149ebcaab42c0,14,0,0,14,14,0,0,0,0.0,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0359_00-scene0359_01,G_full,full,0.25,f2e807e25b298c86d6baf183b7b482d14e923b49b28de5e819d4e28107b92f94,fbc18eefc9f54388c8b72bddd527fc193efba83ebdc8a8270e4149ebcaab42c0,14,0,0,14,14,0,0,0,0.0,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
