schema_version,protocol_id,status,pair,method,support_domain,iou_threshold,method_view_sha256,binding_sha256,paired_prediction_count,ambiguous_identity_count,true_positive_count,false_positive_count,endpoint_failure_count,false_reid_count,same_class_mismatch_count,duplicate_count,precision,persistent_gt_count,end_to_end_recall,conditional_gt_count,conditional_recall,conditional_status,rigid_gt_count,rigid_recall
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,G_full,full,0.5,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,eea0c3e76c5425ef6c99500a4509349faa60919f4144e1f2fa11470d3bec1490,137,0,0,137,137,0,0,0,0.0,55,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,G_full,full,0.25,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,eea0c3e76c5425ef6c99500a4509349faa60919f4144e1f2fa11470d3bec1490,137,0,3,134,134,0,0,0,0.021897810218978103,55,0.05454545454545454,4,0.75,PASS,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,G_supported,supported,0.5,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,a5fe49477773ef63cb247f03da500634eec133f9a2ed35ac7a92b0b522587832,111,0,0,111,111,0,0,0,0.0,55,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,G_supported,supported,0.25,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,a5fe49477773ef63cb247f03da500634eec133f9a2ed35ac7a92b0b522587832,111,0,4,107,107,0,0,0,0.036036036036036036,55,0.07272727272727272,5,0.8,PASS,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,F_obj,supported,0.5,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,a5fe49477773ef63cb247f03da500634eec133f9a2ed35ac7a92b0b522587832,112,0,0,112,112,0,0,0,0.0,55,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,F_obj,supported,0.25,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,a5fe49477773ef63cb247f03da500634eec133f9a2ed35ac7a92b0b522587832,112,0,2,110,110,0,0,0,0.017857142857142856,55,0.03636363636363636,5,0.4,PASS,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,R_obj,supported,0.5,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,a5fe49477773ef63cb247f03da500634eec133f9a2ed35ac7a92b0b522587832,10,0,0,10,10,0,0,0,0.0,55,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,7,0.0
1,RSCAN_DENSE_FIXED_P2_ASSOCIATION_V1,PASS,scene0459_00-scene0459_01,R_obj,supported,0.25,2f0e804750ec55d5ef1a8f177423aca7f37097e3821edc186e961b581832c210,a5fe49477773ef63cb247f03da500634eec133f9a2ed35ac7a92b0b522587832,10,0,1,9,9,0,0,0,0.1,55,0.01818181818181818,5,0.2,PASS,7,0.0
