method_id,checkpoint_id,training_updates,run_id,pair_id,environment_uuid,split_role,common_f1_50,common_tp50,common_fp50,common_fn50,common_raw_best_iou,common_raw_ar50,common_raw_ar25,full_f1_50,full_tp50,full_fp50,full_fn50,full_raw_best_iou,full_raw_ar50,full_raw_ar25,identity_recall,status
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20260908_v3_dev_scene0109_base_frozen_u0000_retry1,scene0109_00-scene0109_01,20c993b7-698f-29c5-847d-c8cb8a685f5a,DEV,0.13793103448275862,2,17,8,0.14585022553391022,0.1,0.3,0.0,0,22,14,0.038705858655354974,0.0,0.0,0.0,PASS
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20260908_v3_dev_scene0359_base_frozen_u0000,scene0359_00-scene0359_01,b1f23308-d255-2761-94da-981d962c6bf8,DEV,0.0,0,10,7,0.24600287591490508,0.14285714285714285,0.5714285714285714,0.0,0,15,9,0.050386267570064175,0.0,0.0,0.0,PASS
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20260908_v3_dev_scene0459_base_frozen_u0000,scene0459_00-scene0459_01,e61b0e04-bada-2f31-82d6-72831a602ba7,DEV,0.062111801242236024,5,105,46,0.16527126170414866,0.0784313725490196,0.3137254901960784,0.0,0,136,59,0.06288891128530179,0.0,0.05084745762711865,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,20260908_v3_dev_scene0109_obs_base_tuned_u0200,scene0109_00-scene0109_01,20c993b7-698f-29c5-847d-c8cb8a685f5a,DEV,0.13793103448275862,2,17,8,0.1556612782203365,0.1,0.3,0.0,0,23,14,0.042869189263765865,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,20260908_v3_dev_scene0359_obs_base_tuned_u0200,scene0359_00-scene0359_01,b1f23308-d255-2761-94da-981d962c6bf8,DEV,0.0,0,10,7,0.24511950724469175,0.14285714285714285,0.5714285714285714,0.0,0,14,9,0.04820124041200027,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,20260908_v3_dev_scene0459_obs_base_tuned_u0200,scene0459_00-scene0459_01,e61b0e04-bada-2f31-82d6-72831a602ba7,DEV,0.06172839506172839,5,106,46,0.15546801459719709,0.0392156862745098,0.29411764705882354,0.0,0,141,59,0.06303302656479354,0.0,0.03389830508474576,0.0,PASS
OBS_BASE_TUNED,c6963d20c8ae42af3ca410ca09c2ce80c9bd64c9be6ae4677e5faf830deff625,500,20260908_v3_dev_scene0109_obs_base_tuned_u0500,scene0109_00-scene0109_01,20c993b7-698f-29c5-847d-c8cb8a685f5a,DEV,0.07142857142857142,1,17,9,0.15102927841489205,0.1,0.3,0.0,0,22,14,0.03880746053258298,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,c6963d20c8ae42af3ca410ca09c2ce80c9bd64c9be6ae4677e5faf830deff625,500,20260908_v3_dev_scene0359_obs_base_tuned_u0500,scene0359_00-scene0359_01,b1f23308-d255-2761-94da-981d962c6bf8,DEV,0.0,0,10,7,0.1718284390720622,0.0,0.42857142857142855,0.0,0,15,9,0.04481339332502124,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,c6963d20c8ae42af3ca410ca09c2ce80c9bd64c9be6ae4677e5faf830deff625,500,20260908_v3_dev_scene0459_obs_base_tuned_u0500,scene0459_00-scene0459_01,e61b0e04-bada-2f31-82d6-72831a602ba7,DEV,0.03773584905660377,3,105,48,0.14787111911718914,0.0392156862745098,0.2549019607843137,0.0,0,138,59,0.05837498299372792,0.0,0.05084745762711865,0.0,PASS
OBS_BASE_TUNED,96fdb9159616cf1fd51fe038faa6c1f6e7119d39b684c9d78bf8a978478e8410,1000,20260908_v3_dev_scene0109_obs_base_tuned_u1000,scene0109_00-scene0109_01,20c993b7-698f-29c5-847d-c8cb8a685f5a,DEV,0.13793103448275862,2,17,8,0.21215173679030697,0.1,0.3,0.0,0,23,14,0.06696586890503113,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,96fdb9159616cf1fd51fe038faa6c1f6e7119d39b684c9d78bf8a978478e8410,1000,20260908_v3_dev_scene0359_obs_base_tuned_u1000,scene0359_00-scene0359_01,b1f23308-d255-2761-94da-981d962c6bf8,DEV,0.0,0,10,7,0.24816683762466898,0.14285714285714285,0.5714285714285714,0.0,0,15,9,0.04955307042748148,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,96fdb9159616cf1fd51fe038faa6c1f6e7119d39b684c9d78bf8a978478e8410,1000,20260908_v3_dev_scene0459_obs_base_tuned_u1000,scene0459_00-scene0459_01,e61b0e04-bada-2f31-82d6-72831a602ba7,DEV,0.03821656050955414,3,103,48,0.1610930826549998,0.058823529411764705,0.3137254901960784,0.0,0,135,59,0.06501173835807532,0.0,0.05084745762711865,0.0,PASS
OBS_FULL,8b6995a0c4cca78cf8534d683fb8702c29061e11f1dba6f6a24b500de5338e29,200,20260908_v3_dev_scene0109_obs_full_u0200_retry1,scene0109_00-scene0109_01,20c993b7-698f-29c5-847d-c8cb8a685f5a,DEV,0.12903225806451613,2,19,8,0.1480485967092479,0.1,0.3,0.0,0,24,14,0.04124730477470965,0.0,0.0,0.0,PASS
OBS_FULL,8b6995a0c4cca78cf8534d683fb8702c29061e11f1dba6f6a24b500de5338e29,200,20260908_v3_dev_scene0359_obs_full_u0200,scene0359_00-scene0359_01,b1f23308-d255-2761-94da-981d962c6bf8,DEV,0.0,0,10,7,0.27347289831263893,0.0,0.7142857142857143,0.0,0,14,9,0.05744151737154462,0.0,0.0,0.0,PASS
