method_id,checkpoint_id,training_updates,environment_count,valid_common_environment_count,common_macro_f1_50,common_micro_tp50,common_micro_fp50,common_micro_fn50,common_micro_f1_50,common_raw_best_iou_macro,common_raw_ar50_macro,common_raw_ar25_macro,full_macro_f1_50,full_micro_tp50,full_micro_fp50,full_micro_fn50,full_micro_f1_50,full_raw_best_iou_macro,full_raw_ar50_macro,full_raw_ar25_macro,identity_recall_macro,status
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,3,3,0.06668094524166489,7,132,61,0.06763285024154589,0.185708121050988,0.10709617180205415,0.39505135387488327,0.0,0,173,82,0.0,0.050660345836906984,0.0,0.01694915254237288,0.0,PASS
OBS_BASE_TUNED,96fdb9159616cf1fd51fe038faa6c1f6e7119d39b684c9d78bf8a978478e8410,1000,3,3,0.058715864997437583,5,130,63,0.04926108374384237,0.20713721902332524,0.10056022408963584,0.39505135387488327,0.0,0,173,82,0.0,0.06051022589686265,0.0,0.01694915254237288,0.0,PASS
OBS_BASE_TUNED,c6963d20c8ae42af3ca410ca09c2ce80c9bd64c9be6ae4677e5faf830deff625,500,3,3,0.03638814016172506,4,132,64,0.0392156862745098,0.15690961220138114,0.046405228758169936,0.32782446311858077,0.0,0,175,82,0.0,0.04733194561711071,0.0,0.01694915254237288,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,3,3,0.06655314318149567,7,133,61,0.0673076923076923,0.18541626668740843,0.09402427637721755,0.388515406162465,0.0,0,178,82,0.0,0.05136781874685322,0.0,0.011299435028248588,0.0,PASS
OBS_FULL,40a34d9f1e86257daba4ce8eded087afeb4d7b92bf261cd8dfac159ee6939487,500,3,3,0.06198830409356725,6,125,62,0.06030150753768844,0.17323303601595233,0.052941176470588235,0.3689075630252101,0.0,0,173,82,0.0,0.0496046658938037,0.0,0.01694915254237288,0.0,PASS
OBS_FULL,8b6995a0c4cca78cf8534d683fb8702c29061e11f1dba6f6a24b500de5338e29,200,3,3,0.0596774193548387,6,134,62,0.057692307692307696,0.19003153022166783,0.046405228758169936,0.4165266106442577,0.0,0,175,82,0.0,0.05266546103419482,0.0,0.01694915254237288,0.0,PASS
OBS_FULL,fcbcec2310fbc452afcc0e2c6d4dd5de0cdc8103041ee5ce4193399c29d6e36d,1000,3,3,0.07642563198118753,9,130,59,0.08695652173913043,0.195937008539383,0.10056022408963584,0.3754435107376284,0.0,0,172,82,0.0,0.05435907487228753,0.0,0.01694915254237288,0.0,PASS
OBS_FUSE,30c9d0b6c6d00fc0c254493578166fa97d1ee5364603d428383a56771a01c92a,200,3,3,0.0643905360886493,6,130,62,0.058823529411764705,0.20430829700357153,0.09402427637721755,0.4283846872082166,0.0,0,178,82,0.0,0.054578285261810834,0.0,0.01694915254237288,0.0,PASS
OBS_FUSE,81410e0103a65472dbcde64a7447e16007c409e0fc1433f2f2e78c45d24b91b7,500,3,3,0.039759994216728115,5,132,63,0.04878048780487805,0.18894722024461771,0.046405228758169936,0.38197945845004666,0.0,0,171,82,0.0,0.05263411702537122,0.0,0.01694915254237288,0.0,PASS
OBS_FUSE,eaebaf2a46fc335764f287386745a36813742a1749a710039e407d8a2fb1a587,1000,3,3,0.0646041856232939,6,128,62,0.0594059405940594,0.19824033798388388,0.09402427637721755,0.41531279178338004,0.0,0,175,82,0.0,0.053666545066400444,0.0,0.01694915254237288,0.0,PASS
