method_id,checkpoint_id,training_updates,environment_count,valid_common_environment_count,common_macro_f1_50,common_micro_tp50,common_micro_fp50,common_micro_fn50,common_micro_f1_50,common_raw_best_iou_macro,common_raw_ar50_macro,common_raw_ar25_macro,full_macro_f1_50,full_micro_tp50,full_micro_fp50,full_micro_fn50,full_micro_f1_50,full_raw_best_iou_macro,full_raw_ar50_macro,full_raw_ar25_macro,identity_recall_macro,status
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,2,2,0.06140350877192982,7,163,83,0.05384615384615385,0.1417833209434131,0.07317073170731707,0.2585863613738178,0.0,0,244,95,0.0,0.06487315670709032,0.0,0.047619047619047616,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,2,2,0.06607879065506184,8,168,82,0.06015037593984962,0.14263241996380382,0.07317073170731707,0.2707814833250373,0.0,0,246,95,0.0,0.06337303099985722,0.0,0.047619047619047616,0.0,PASS
OBS_FULL,fcbcec2310fbc452afcc0e2c6d4dd5de0cdc8103041ee5ce4193399c29d6e36d,1000,2,2,0.06956521739130435,8,160,82,0.06201550387596899,0.1575082209129982,0.07317073170731707,0.2605774016923843,0.0,0,244,95,0.0,0.0735050617874974,0.0,0.047619047619047616,0.0,PASS
OBS_FUSE,eaebaf2a46fc335764f287386745a36813742a1749a710039e407d8a2fb1a587,1000,2,2,0.049586776859504134,6,171,84,0.0449438202247191,0.16150625985637534,0.07317073170731707,0.26455948232951715,0.0,0,246,95,0.0,0.07570866795045238,0.0,0.047619047619047616,0.0,PASS
