method_id,checkpoint_id,training_updates,common_macro_f1_50,common_raw_best_iou_macro,selected,selection_reason
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,0.06140350877192982,0.1417833209434131,true,MAX_COMMON_MACRO_THEN_RAW_THEN_EARLIER
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,0.06607879065506184,0.14263241996380382,true,MAX_COMMON_MACRO_THEN_RAW_THEN_EARLIER
OBS_FULL,fcbcec2310fbc452afcc0e2c6d4dd5de0cdc8103041ee5ce4193399c29d6e36d,1000,0.06956521739130435,0.1575082209129982,true,MAX_COMMON_MACRO_THEN_RAW_THEN_EARLIER
OBS_FUSE,eaebaf2a46fc335764f287386745a36813742a1749a710039e407d8a2fb1a587,1000,0.049586776859504134,0.16150625985637534,true,MAX_COMMON_MACRO_THEN_RAW_THEN_EARLIER
