run_id,method_id,training_updates,checkpoint_id,environment,pair,visit,intervention_id,applied_observation_mode,full_f1_50,common_tp50,common_fp50,common_fn50,common_f1_50,common_f1_50_delta_vs_full,raw_common_best_iou_mean,raw_common_best_iou_delta_vs_full,raw_common_ar50,raw_common_ar25,alpha_by_layer_json,beta_by_layer_json,observation_stats_json,status
20260908_scene0109_obs_full_train200_i_full_diag_v3,OBS_FULL,200,ca715b6031da563ef56ef8b78969d118669aa47ff839b5480cc9b45eaa6ad72b,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,I_FULL,full,0.0,2.0,17.0,8.0,0.13793103448275862,0.0,0.1744074974821209,0.0,0.1,0.3,"[0.016443496569991112,0.01142274308949709,0.009349793195724487,0.012004693038761616,0.016896896064281464,0.015919500961899757,0.01327102817595005,0.012602442875504494,0.014148428104817867,0.017724500969052315,0.015565205365419388,0.012584922835230827]","[-0.0027459380216896534,0.02151767909526825,0.009304721839725971,0.020567690953612328,0.01704793982207775,0.019424954429268837,0.019218502566218376,0.020352596417069435,0.015043399296700954,0.018955549225211143,0.020461656153202057,0.019579609856009483]","{""attention_layer_count"":12,""edge_count"":51825,""feature_fusion_count"":0,""feedback_layer_count"":13,""region_count"":490,""supported_model_count"":30131}",PASS_DIAGNOSTIC_NOT_TRAINING_ABLATION
20260908_scene0109_obs_full_train200_i_beta0_diag_v3,OBS_FULL,200,ca715b6031da563ef56ef8b78969d118669aa47ff839b5480cc9b45eaa6ad72b,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,I_BETA0,no_feedback,0.0,2.0,17.0,8.0,0.13793103448275862,0.0,0.1732349965817134,-0.0011725009004074916,0.1,0.3,"[0.016443496569991112,0.01142274308949709,0.009349793195724487,0.012004693038761616,0.016896896064281464,0.015919500961899757,0.01327102817595005,0.012602442875504494,0.014148428104817867,0.017724500969052315,0.015565205365419388,0.012584922835230827]","[-0.0027459380216896534,0.02151767909526825,0.009304721839725971,0.020567690953612328,0.01704793982207775,0.019424954429268837,0.019218502566218376,0.020352596417069435,0.015043399296700954,0.018955549225211143,0.020461656153202057,0.019579609856009483]","{""attention_layer_count"":12,""edge_count"":51825,""feature_fusion_count"":0,""feedback_layer_count"":0,""region_count"":490,""supported_model_count"":0}",PASS_DIAGNOSTIC_NOT_TRAINING_ABLATION
20260908_scene0109_obs_full_train200_i_alpha0_beta0_diag_v3,OBS_FULL,200,ca715b6031da563ef56ef8b78969d118669aa47ff839b5480cc9b45eaa6ad72b,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,I_ALPHA0_BETA0,base_tuned,0.0,2.0,16.0,8.0,0.14285714285714285,0.0049261083743842304,0.17149860149711924,-0.0029088959850016582,0.1,0.4,"[0.016443496569991112,0.01142274308949709,0.009349793195724487,0.012004693038761616,0.016896896064281464,0.015919500961899757,0.01327102817595005,0.012602442875504494,0.014148428104817867,0.017724500969052315,0.015565205365419388,0.012584922835230827]","[-0.0027459380216896534,0.02151767909526825,0.009304721839725971,0.020567690953612328,0.01704793982207775,0.019424954429268837,0.019218502566218376,0.020352596417069435,0.015043399296700954,0.018955549225211143,0.020461656153202057,0.019579609856009483]","{""attention_layer_count"":0,""edge_count"":0,""feature_fusion_count"":0,""feedback_layer_count"":0,""region_count"":0,""supported_model_count"":0}",PASS_DIAGNOSTIC_NOT_TRAINING_ABLATION
20260908_scene0109_obs_full_train1000_i_full_diag_v3,OBS_FULL,1000,1705df1db2626688cf57465569dd53fe02df27549b7a25db4d935d05068b99e0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,I_FULL,full,0.0,2.0,18.0,8.0,0.13333333333333333,0.0,0.17705370658288375,0.0,0.1,0.4,"[0.048474062234163284,0.054054584354162216,0.03463934734463692,0.04232675954699516,0.040787119418382645,0.03741889446973801,0.0367220938205719,0.043824538588523865,0.04606790840625763,0.04574757069349289,0.0427989698946476,0.04393848404288292]","[-0.061663344502449036,0.10349070280790329,0.09850525110960007,0.11192797869443893,0.10371644049882889,0.10167282819747925,0.10633600503206253,0.10969016700983047,0.10705004632472992,0.1031235009431839,0.10627059638500214,0.11239635199308395]","{""attention_layer_count"":12,""edge_count"":51825,""feature_fusion_count"":0,""feedback_layer_count"":13,""region_count"":490,""supported_model_count"":30131}",PASS_DIAGNOSTIC_NOT_TRAINING_ABLATION
20260908_scene0109_obs_full_train1000_i_beta0_diag_v3,OBS_FULL,1000,1705df1db2626688cf57465569dd53fe02df27549b7a25db4d935d05068b99e0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,I_BETA0,no_feedback,0.0,2.0,18.0,8.0,0.13333333333333333,0.0,0.1768176935197216,-0.00023601306316214932,0.1,0.4,"[0.048474062234163284,0.054054584354162216,0.03463934734463692,0.04232675954699516,0.040787119418382645,0.03741889446973801,0.0367220938205719,0.043824538588523865,0.04606790840625763,0.04574757069349289,0.0427989698946476,0.04393848404288292]","[-0.061663344502449036,0.10349070280790329,0.09850525110960007,0.11192797869443893,0.10371644049882889,0.10167282819747925,0.10633600503206253,0.10969016700983047,0.10705004632472992,0.1031235009431839,0.10627059638500214,0.11239635199308395]","{""attention_layer_count"":12,""edge_count"":51825,""feature_fusion_count"":0,""feedback_layer_count"":0,""region_count"":490,""supported_model_count"":0}",PASS_DIAGNOSTIC_NOT_TRAINING_ABLATION
20260908_scene0109_obs_full_train1000_i_alpha0_beta0_diag_v3,OBS_FULL,1000,1705df1db2626688cf57465569dd53fe02df27549b7a25db4d935d05068b99e0,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,I_ALPHA0_BETA0,base_tuned,0.0,2.0,18.0,8.0,0.13333333333333333,0.0,0.17925289972206626,0.002199193139182515,0.1,0.4,"[0.048474062234163284,0.054054584354162216,0.03463934734463692,0.04232675954699516,0.040787119418382645,0.03741889446973801,0.0367220938205719,0.043824538588523865,0.04606790840625763,0.04574757069349289,0.0427989698946476,0.04393848404288292]","[-0.061663344502449036,0.10349070280790329,0.09850525110960007,0.11192797869443893,0.10371644049882889,0.10167282819747925,0.10633600503206253,0.10969016700983047,0.10705004632472992,0.1031235009431839,0.10627059638500214,0.11239635199308395]","{""attention_layer_count"":0,""edge_count"":0,""feature_fusion_count"":0,""feedback_layer_count"":0,""region_count"":0,""supported_model_count"":0}",PASS_DIAGNOSTIC_NOT_TRAINING_ABLATION
