method_id,checkpoint_id,training_updates,run_id,pair_id,environment_uuid,split_role,common_f1_50,common_tp50,common_fp50,common_fn50,common_raw_best_iou,common_raw_ar50,common_raw_ar25,full_f1_50,full_tp50,full_fp50,full_fn50,full_raw_best_iou,full_raw_ar50,full_raw_ar25,identity_recall,status
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20260908_v3_confirm_scene0009_base_frozen_u0000,scene0009_00-scene0009_02,0988ea72-eb32-2e61-8344-99e2283c2728,CONFIRM,0.12280701754385964,7,66,34,0.1736797300782398,0.14634146341463414,0.2926829268292683,0.0,0,119,42,0.08066206768501408,0.0,0.09523809523809523,0.0,PASS
OBS_BASE_FROZEN,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0,20260908_v3_confirm_scene0449_base_frozen_u0000,scene0449_00-scene0449_05,ddc73797-765b-241a-9e2c-097c5989baf6,CONFIRM,0.0,0,97,49,0.10988691180858635,0.0,0.22448979591836735,0.0,0,125,53,0.04908424572916656,0.0,0.0,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,20260908_v3_confirm_scene0009_obs_base_tuned_u0200,scene0009_00-scene0009_02,0988ea72-eb32-2e61-8344-99e2283c2728,CONFIRM,0.11864406779661017,7,70,34,0.1840076609836434,0.14634146341463414,0.3170731707317073,0.0,0,119,42,0.0843231778412789,0.0,0.09523809523809523,0.0,PASS
OBS_BASE_TUNED,e15357abaebffe7cb911753e1adee85f595416cb6660d2fcf95b5c75d8492bcd,200,20260908_v3_confirm_scene0449_obs_base_tuned_u0200,scene0449_00-scene0449_05,ddc73797-765b-241a-9e2c-097c5989baf6,CONFIRM,0.013513513513513514,1,98,48,0.10125717894396426,0.0,0.22448979591836735,0.0,0,127,53,0.04242288415843553,0.0,0.0,0.0,PASS
OBS_FULL,fcbcec2310fbc452afcc0e2c6d4dd5de0cdc8103041ee5ce4193399c29d6e36d,1000,20260908_v3_confirm_scene0009_obs_full_u1000,scene0009_00-scene0009_02,0988ea72-eb32-2e61-8344-99e2283c2728,CONFIRM,0.1391304347826087,8,66,33,0.20307208367175902,0.14634146341463414,0.3170731707317073,0.0,0,119,42,0.09669898807064121,0.0,0.09523809523809523,0.0,PASS
OBS_FULL,fcbcec2310fbc452afcc0e2c6d4dd5de0cdc8103041ee5ce4193399c29d6e36d,1000,20260908_v3_confirm_scene0449_obs_full_u1000,scene0449_00-scene0449_05,ddc73797-765b-241a-9e2c-097c5989baf6,CONFIRM,0.0,0,94,49,0.1119443581542374,0.0,0.20408163265306123,0.0,0,125,53,0.05031113550435359,0.0,0.0,0.0,PASS
OBS_FUSE,eaebaf2a46fc335764f287386745a36813742a1749a710039e407d8a2fb1a587,1000,20260908_v3_confirm_scene0009_obs_fuse_u1000,scene0009_00-scene0009_02,0988ea72-eb32-2e61-8344-99e2283c2728,CONFIRM,0.09917355371900827,6,74,35,0.21872402985473233,0.14634146341463414,0.36585365853658536,0.0,0,120,42,0.10159909788518853,0.0,0.09523809523809523,0.0,PASS
OBS_FUSE,eaebaf2a46fc335764f287386745a36813742a1749a710039e407d8a2fb1a587,1000,20260908_v3_confirm_scene0449_obs_fuse_u1000,scene0449_00-scene0449_05,ddc73797-765b-241a-9e2c-097c5989baf6,CONFIRM,0.0,0,97,49,0.10428848985801834,0.0,0.16326530612244897,0.0,0,126,53,0.04981823801571622,0.0,0.0,0.0,PASS
