pair,visit,method,evaluation_domain,tp_at_050,fp_at_050,fn_at_050,precision_at_050,recall_at_050,f1_at_050,fragment_gt_count_at_050,merge_prediction_count_at_050,duplicate_prediction_count_at_050,mean_matched_iou_at_050,tp_at_025,fp_at_025,fn_at_025,precision_at_025,recall_at_025,f1_at_025,fragment_gt_count_at_025,merge_prediction_count_at_025,duplicate_prediction_count_at_025,mean_matched_iou_at_025,raw_candidate_count,final_instance_count,split_parent_count,merged_candidate_count,query_owned_fraction,residual_fraction,background_fraction,unknown_fraction,source_point_count,final_point_count,geometric_change_count,method_view_sha256
scene0359_00-scene0359_01,0,P0,full,0,11,9,0.0,0.0,0.0,0,0,0,,4,7,5,0.36363636363636365,0.4444444444444444,0.39999999999999997,0,0,0,0.3007784302725472,11,11,0,0,0.0,1.0,0.0,0.0,1419750,1419750,0,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57
scene0359_00-scene0359_01,1,P0,full,0,12,9,0.0,0.0,0.0,0,0,0,,0,12,9,0.0,0.0,0.0,0,0,0,,12,12,0,0,0.0,1.0,0.0,0.0,1027251,1027251,0,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57
scene0359_00-scene0359_01,0,P1,full,0,9,9,0.0,0.0,0.0,0,0,0,,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,0,0,0.3007784302725472,11,9,0,1,0.0,1.0,0.0,0.0,1419750,1419750,0,3e29109083c4b88f6846e23244623e8c1eb72c340f75149e3b66575b66b36c1f
scene0359_00-scene0359_01,1,P1,full,0,10,9,0.0,0.0,0.0,0,0,0,,0,10,9,0.0,0.0,0.0,0,0,0,,12,10,0,1,0.0,1.0,0.0,0.0,1027251,1027251,0,3e29109083c4b88f6846e23244623e8c1eb72c340f75149e3b66575b66b36c1f
scene0359_00-scene0359_01,0,P2,full,0,14,9,0.0,0.0,0.0,0,0,0,,2,12,7,0.14285714285714285,0.2222222222222222,0.17391304347826086,0,0,0,0.3416357262217451,62,14,5,1,0.03954428596583905,0.960455714034161,0.0,0.0,1419750,1419750,0,f2e807e25b298c86d6baf183b7b482d14e923b49b28de5e819d4e28107b92f94
scene0359_00-scene0359_01,1,P2,full,0,15,9,0.0,0.0,0.0,0,0,0,,0,15,9,0.0,0.0,0.0,0,0,0,,52,15,5,1,0.028761227781720338,0.9712387722182797,0.0,0.0,1027251,1027251,0,f2e807e25b298c86d6baf183b7b482d14e923b49b28de5e819d4e28107b92f94
