pair_id,variant_id,evaluated_commit,t0_source_candidate_count,t1_source_candidate_count,current_composite_object_count,current_grouped_source_entity_count,current_query_supported_object_count,unconfirmed_atomic_object_count,rejected_conflict_count,current_rejected_entity_count,current_owned_point_count,appearance_supported_owned_point_count,appearance_support_rate,geometry_unchanged,pair_content_sha256,grouping_sha256,source_xyz_multiset_sha256,output_xyz_multiset_sha256,config_sha256,checkpoint_sha256,iou_threshold,status,predicted_instance_count,ground_truth_instance_count,true_positive_count,false_positive_count,false_negative_count,precision,recall,f_score,fragment_gt_count,merge_prediction_count,merge_prediction_rate,duplicate_prediction_count,mean_matched_iou
scene0109_00-scene0109_01,A_ID,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,21,0,3,18,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,0785b7ccdd362266325dcfe4ffb3dbe8c8ee4402441d95292beb340d4b6e9661,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.5,PASS,21,14,0,21,14,0.0,0.0,0.0,0,0,0.0,0,
scene0109_00-scene0109_01,A_ID,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,21,0,3,18,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,0785b7ccdd362266325dcfe4ffb3dbe8c8ee4402441d95292beb340d4b6e9661,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.25,PASS,21,14,3,18,11,0.14285714285714285,0.21428571428571427,0.17142857142857143,0,0,0.0,0,0.29284231156311247
scene0109_00-scene0109_01,U0,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,21,0,0,21,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,34253a73985904fb01a2d8dfd661e85cb1da4ac99b6fbf6b856e4f89419f23fc,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.5,PASS,21,14,0,21,14,0.0,0.0,0.0,0,0,0.0,0,
scene0109_00-scene0109_01,U0,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,21,0,0,21,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,34253a73985904fb01a2d8dfd661e85cb1da4ac99b6fbf6b856e4f89419f23fc,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.25,PASS,21,14,3,18,11,0.14285714285714285,0.21428571428571427,0.17142857142857143,0,0,0.0,0,0.29284231156311247
scene0109_00-scene0109_01,U1,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,21,0,0,21,272,5,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,3ec05031bb7c12b505040b771bbe08054657abab40e3368226c23b872bd4f298,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.5,PASS,21,14,0,21,14,0.0,0.0,0.0,0,0,0.0,0,
scene0109_00-scene0109_01,U1,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,21,0,0,21,272,5,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,3ec05031bb7c12b505040b771bbe08054657abab40e3368226c23b872bd4f298,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.25,PASS,21,14,3,18,11,0.14285714285714285,0.21428571428571427,0.17142857142857143,0,0,0.0,0,0.29284231156311247
scene0109_00-scene0109_01,U2,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,20,2,2,18,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,83b9d9f610a7d9daa646bda5c490080e2bd81f629abdbb0d427ad3cd46e1b286,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.5,PASS,20,14,0,20,14,0.0,0.0,0.0,0,0,0.0,0,
scene0109_00-scene0109_01,U2,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,20,2,2,18,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,83b9d9f610a7d9daa646bda5c490080e2bd81f629abdbb0d427ad3cd46e1b286,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.25,PASS,20,14,3,17,11,0.15,0.21428571428571427,0.1764705882352941,0,0,0.0,0,0.29284231156311247
scene0109_00-scene0109_01,U3,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,20,2,2,18,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,ce9d0e364d00e41f3ece013e4c6f28f04e14903bd0be7012a85c94b8fb69215f,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.5,PASS,20,14,0,20,14,0.0,0.0,0.0,0,0,0.0,0,
scene0109_00-scene0109_01,U3,cff637c12e92a97b060a404803cff39b1aa10d00,29,21,20,2,2,18,0,0,762458,675214,0.885575336608705,True,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,ce9d0e364d00e41f3ece013e4c6f28f04e14903bd0be7012a85c94b8fb69215f,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,6daf897ecdbf6bf977547fd93b16b2cd0c5d283ce5459307668782d95b8df0a6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,0.25,PASS,20,14,3,17,11,0.15,0.21428571428571427,0.1764705882352941,0,0,0.0,0,0.29284231156311247
