pair_id,variant_id,mode,evaluated_commit,config_sha256,grouping_variant,paired_object_count,rigid_gt_count,rigid_proposal_pair_count,rigid_correct_relation_count,rigid_false_reid_count,accepted_registration_count,rejected_registration_count,opportunity_voxel_count,recovered_opportunity_voxel_count,historical_unevaluable_voxel_count,new_surface_voxel_count,new_correct_surface_voxel_count,new_wrong_surface_voxel_count,new_unevaluable_surface_voxel_count,deleted_baseline_voxel_count,deleted_correct_baseline_voxel_count,baseline_surface_precision,baseline_surface_recall,baseline_surface_f_score,surface_precision,surface_recall,surface_f_score,current_object_precision,current_object_recall,old_location_residue_voxel_count,background_conflict_voxel_count,recover_occluded_point_count,recover_unobserved_point_count,reject_incompatible_point_count,reject_occupied_point_count,reject_visible_free_point_count,recovered_point_count,removed_baseline_point_count,status
scene0109_00-scene0109_01,C0,method,8e924b7775b3a9416293f0ef7ba70290f39109e8,2da19cf2271c1d2a159b1d509c104b9e951284842cc15243fdc8f4a164d29689,U0,0,3,1,0,0,0,0,16,0,70,0,0,0,0,0,0,0.99967958987504,0.28373954165150966,0.4420202592618828,0.99967958987504,0.28373954165150966,0.4420202592618828,0.9996626180836707,0.2694616224081484,143,0,0,0,0,0,0,0,0,PASS_NULL_PRESERVING
scene0109_00-scene0109_01,C1,method,8e924b7775b3a9416293f0ef7ba70290f39109e8,2da19cf2271c1d2a159b1d509c104b9e951284842cc15243fdc8f4a164d29689,U3,21,3,1,1,0,8,13,16,0,68,18,3,0,15,51,0,0.9990393852065321,0.28373954165150966,0.441957645725618,0.9990403071017274,0.2840123681338669,0.4422886276731342,0.998989558773998,0.26973444889050563,123,0,275,417,0,47928,447,692,3628,PASS_NULL_PRESERVING
scene0109_00-scene0109_01,C2,method,8e924b7775b3a9416293f0ef7ba70290f39109e8,2da19cf2271c1d2a159b1d509c104b9e951284842cc15243fdc8f4a164d29689,U3,1,3,1,0,0,0,1,16,0,70,0,0,0,0,0,0,0.99967958987504,0.28373954165150966,0.4420202592618828,0.99967958987504,0.28373954165150966,0.4420202592618828,0.9996626180836707,0.2694616224081484,143,0,0,0,0,0,0,0,0,PASS_NULL_PRESERVING
scene0109_00-scene0109_01,O1,oracle,8e924b7775b3a9416293f0ef7ba70290f39109e8,2da19cf2271c1d2a159b1d509c104b9e951284842cc15243fdc8f4a164d29689,U3,1,3,1,1,0,1,0,16,0,68,9,0,0,9,5,0,0.9993593850096092,0.28373954165150966,0.44198895027624313,0.9993593850096092,0.28373954165150966,0.44198895027624313,0.9993254637436763,0.2694616224081484,142,0,0,396,0,15617,224,396,438,PASS_NULL_PRESERVING
scene0109_00-scene0109_01,O2,oracle,8e924b7775b3a9416293f0ef7ba70290f39109e8,2da19cf2271c1d2a159b1d509c104b9e951284842cc15243fdc8f4a164d29689,U3,1,3,1,1,0,1,0,16,0,65,16,0,0,16,5,0,0.9993593850096092,0.28373954165150966,0.44198895027624313,0.9993593850096092,0.28373954165150966,0.44198895027624313,0.9993254637436763,0.2694616224081484,142,0,0,664,0,15329,244,664,438,PASS_NULL_PRESERVING
