run_id,command,commit,source_hashes,config_hash,dataset,pair,domain,seed,device,runtime_s,peak_memory_bytes,status,artifact_root
transfer_diagnosis_d0_native_processed,REUSED_NATIVE_FORWARD_METRIC_V2_REEVALUATION,d295568fea0d5a2abee2775a577964fae12589bf,input:d85be2228b4686006f649d6ac6595b36afd6a3c74ca78b7cf2484b3b0521ce0d,67f0d6e276fda76f0b63e8547446d3679eef41ccbb2230e393aeb6795fc4189b,3RScan,scene0109_00-scene0109_01,D0_NATIVE_PROCESSED,not_applicable,cuda:0,1.2637448320165277,1182520320,PASS_REUSED,/home/ww/.config/superpowers/worktrees/ovi-rescene-real-evidence/configs/evaluation/results/ovi_rescene_object_level_transfer
transfer_diagnosis_d1_native_sensor_support,CACHED_D0_SENSOR_SUPPORT_PROJECTION_METRIC_V2,d295568fea0d5a2abee2775a577964fae12589bf,input:54c2f26dd8e3996a0a66d742c4008a87c97894a9e75cac1a43fa600321bb24b6,67f0d6e276fda76f0b63e8547446d3679eef41ccbb2230e393aeb6795fc4189b,3RScan,scene0109_00-scene0109_01,D1_NATIVE_SENSOR_SUPPORT,not_applicable,cpu,,,PASS_CACHED_PROJECTION,/home/ww/.config/superpowers/worktrees/ovi-rescene-real-evidence/configs/evaluation/results/ovi_rescene_object_level_transfer
transfer_diagnosis_d2_ovi_reconstruction,REUSED_REAL_OVI_FORWARD_FIXED_CANDIDATES,d295568fea0d5a2abee2775a577964fae12589bf,input:db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,67f0d6e276fda76f0b63e8547446d3679eef41ccbb2230e393aeb6795fc4189b,3RScan,scene0109_00-scene0109_01,D2_OVI_RECONSTRUCTION,not_applicable,cuda:0,0.43849461898207664,1100020224,PASS_REUSED,/home/ww/.config/superpowers/worktrees/ovi-rescene-real-evidence/configs/evaluation/results/ovi_rescene_object_level_transfer
decoder_mask_head_adaptation,GATED_BY:d1_sensor_support_degradation,d295568fea0d5a2abee2775a577964fae12589bf,decision:adaptation_decision_v2.json,67f0d6e276fda76f0b63e8547446d3679eef41ccbb2230e393aeb6795fc4189b,3RScan,scene0109_00-scene0109_01,TRAIN_OVI_ADAPT,not_applicable,not_run,,,NOT_RUN_GATE_SELECTED_NO_ADAPTATION,/home/ww/.config/superpowers/worktrees/ovi-rescene-real-evidence/configs/evaluation/results/ovi_rescene_object_level_transfer
