pair_id,method_id,endpoint_iou_threshold,evaluated_commit,t0_candidate_count,t1_candidate_count,t0_feature_supported_candidate_count,t1_feature_supported_candidate_count,query_count,full_source_point_count,full_adapter_count,full_model_count,supported_source_point_count,supported_adapter_count,supported_model_count,independent_t0_runtime_s,independent_t1_runtime_s,joint_runtime_s,peak_memory_bytes,pair_content_sha256,sample_content_sha256,binding_sha256,config_sha256,checkpoint_sha256,status,support_domain,paired_prediction_count,candidate_unmatched_count,true_positive_count,false_positive_count,endpoint_failure_count,false_reid_count,same_class_mismatch_count,duplicate_count,precision,end_to_end_recall,persistent_gt_count,representation_conditional_gt_count,representation_conditional_recall,strict_true_positive_count,strict_false_positive_count,strict_duplicate_count,strict_precision,strict_end_to_end_recall,strict_representation_conditional_recall,rigid_true_positive_count,rigid_gt_count,rigid_recall,support_conditional_true_positive_count,support_conditional_gt_count,support_conditional_recall,support_conditional_status
scene0109_00-scene0109_01,G_full,0.5,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,7142d779b001b36c77f3ddf8bc402f8fb1886e8c46eff23b92f56bad8e8111f6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,full,21,8,0,21,21,0,0,0,0.0,0.0,13,0,,0,21,0,0.0,0.0,,0,3,0.0,,,,NOT_APPLICABLE_FULL_DOMAIN
scene0109_00-scene0109_01,G_full,0.25,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,7142d779b001b36c77f3ddf8bc402f8fb1886e8c46eff23b92f56bad8e8111f6,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,full,21,8,1,20,20,0,0,0,0.047619047619047616,0.07692307692307693,13,1,1.0,1,20,0,0.047619047619047616,0.07692307692307693,1.0,1,3,0.3333333333333333,,,,NOT_APPLICABLE_FULL_DOMAIN
scene0109_00-scene0109_01,G_supported,0.5,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,e474b30f9e78134667eb9067f57a47e23fbb74715b0cd09c56287760f53693d8,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,supported,19,12,0,19,19,0,0,0,0.0,0.0,13,0,,0,19,0,0.0,0.0,,0,3,0.0,0,0,,PASS
scene0109_00-scene0109_01,G_supported,0.25,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,e474b30f9e78134667eb9067f57a47e23fbb74715b0cd09c56287760f53693d8,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,supported,19,12,1,18,18,0,0,0,0.05263157894736842,0.07692307692307693,13,1,1.0,1,18,0,0.05263157894736842,0.07692307692307693,1.0,1,3,0.3333333333333333,1,1,1.0,PASS
scene0109_00-scene0109_01,F_obj,0.5,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,e474b30f9e78134667eb9067f57a47e23fbb74715b0cd09c56287760f53693d8,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,supported,17,16,0,17,17,0,0,0,0.0,0.0,13,0,,0,17,0,0.0,0.0,,0,3,0.0,0,0,,PASS
scene0109_00-scene0109_01,F_obj,0.25,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,e474b30f9e78134667eb9067f57a47e23fbb74715b0cd09c56287760f53693d8,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,supported,17,16,0,17,17,0,0,0,0.0,0.0,13,1,0.0,0,17,0,0.0,0.0,0.0,0,3,0.0,0,1,0.0,PASS
scene0109_00-scene0109_01,R_obj,0.5,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,e474b30f9e78134667eb9067f57a47e23fbb74715b0cd09c56287760f53693d8,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,supported,1,48,0,1,1,0,0,0,0.0,0.0,13,0,,0,1,0,0.0,0.0,,0,3,0.0,0,0,,PASS
scene0109_00-scene0109_01,R_obj,0.25,eb8153f502a59060f15166c37a1eb15c54119d92,29,21,28,19,92,1276550,51420,40891,1253090,50597,40076,0.4869453473947942,0.16243467386811972,0.43849461898207664,1100020224,db8c3463022049d4b0bc8e4e2f7259045cc488640e663442dd94e9c556ca9fa0,f5d456ab430f7d38e0190c0abb3ae429b716735ec0dc1ebb48811a75faab17e6,e474b30f9e78134667eb9067f57a47e23fbb74715b0cd09c56287760f53693d8,cf8422dd21aa72b66fbdb2a8918b689efcb12cb20b488e8dd3ff56c08f7a41ef,85ed1aba60320cd19798536b71b91dbc156b7ea60f838832bc0bbbdba131546e,PASS,supported,1,48,0,1,1,0,0,0,0.0,0.0,13,1,0.0,0,1,0,0.0,0.0,0.0,0,3,0.0,0,1,0.0,PASS
