canonical_source_row,x,y,z,native_id,final_id,diagnostic_GT_id,category
284686,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
284689,-10.78499984741211,-5.304999828338623,1.7035399675369263,16,16,16,retained_correct
284690,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
284692,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
284693,-10.78499984741211,-5.304999828338623,1.7035399675369263,16,16,16,retained_correct
284695,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
284719,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284721,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284724,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284725,-10.78499984741211,-5.304999828338623,1.7035399675369263,16,16,16,retained_correct
284728,-10.78499984741211,-5.304999828338623,1.7035399675369263,16,16,16,retained_correct
284729,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284731,-10.78499984741211,-5.304999828338623,1.7035399675369263,16,16,16,retained_correct
284758,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284761,-10.765000343322754,-5.304999828338623,1.703089952468872,16,16,16,retained_correct
284762,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284764,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284765,-10.765000343322754,-5.304999828338623,1.703089952468872,16,16,16,retained_correct
284767,-10.774999618530273,-5.304999828338623,1.7031500339508057,16,16,16,retained_correct
284793,-10.755000114440918,-5.304999828338623,1.7032500505447388,16,16,16,retained_correct
284796,-10.765000343322754,-5.304999828338623,1.703089952468872,16,16,16,retained_correct
284798,-10.755000114440918,-5.304999828338623,1.7032500505447388,16,16,16,retained_correct
284800,-10.765000343322754,-5.304999828338623,1.703089952468872,16,16,16,retained_correct
284801,-10.755000114440918,-5.304999828338623,1.7032500505447388,16,16,16,retained_correct
284803,-10.765000343322754,-5.304999828338623,1.703089952468872,16,16,16,retained_correct
284832,-10.755000114440918,-5.304999828338623,1.7032500505447388,16,16,16,retained_correct
284836,-10.755000114440918,-5.304999828338623,1.7032500505447388,16,16,16,retained_correct
284839,-10.755000114440918,-5.304999828338623,1.7032500505447388,16,16,16,retained_correct
286051,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286053,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286056,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286061,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286090,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286093,-10.835000038146973,-5.304999828338623,1.7028900384902954,16,16,16,retained_correct
286094,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286096,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286097,-10.835000038146973,-5.304999828338623,1.7028900384902954,16,16,16,retained_correct
286099,-10.845000267028809,-5.304999828338623,1.7030400037765503,16,16,16,retained_correct
286125,-10.824999809265137,-5.304999828338623,1.7026900053024292,16,16,16,retained_correct
286128,-10.835000038146973,-5.304999828338623,1.7028900384902954,16,16,16,retained_correct
286130,-10.824999809265137,-5.304999828338623,1.7026900053024292,16,16,16,retained_correct
286132,-10.835000038146973,-5.304999828338623,1.7028900384902954,16,16,16,retained_correct
286133,-10.824999809265137,-5.304999828338623,1.7026900053024292,16,16,16,retained_correct
286135,-10.835000038146973,-5.304999828338623,1.7028900384902954,16,16,16,retained_correct
286161,-10.8149995803833,-5.304999828338623,1.7029500007629395,16,16,16,retained_correct
286164,-10.824999809265137,-5.304999828338623,1.7026900053024292,16,16,16,retained_correct
286166,-10.8149995803833,-5.304999828338623,1.7029500007629395,16,16,16,retained_correct
286168,-10.824999809265137,-5.304999828338623,1.7026900053024292,16,16,16,retained_correct
286169,-10.8149995803833,-5.304999828338623,1.7029500007629395,16,16,16,retained_correct
286171,-10.824999809265137,-5.304999828338623,1.7026900053024292,16,16,16,retained_correct
286195,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
286197,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
286200,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
286201,-10.8149995803833,-5.304999828338623,1.7029500007629395,16,16,16,retained_correct
286204,-10.8149995803833,-5.304999828338623,1.7029500007629395,16,16,16,retained_correct
286205,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
286207,-10.8149995803833,-5.304999828338623,1.7029500007629395,16,16,16,retained_correct
286222,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
286225,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
