method_id,updates,pair_id,visit_id,evaluation_domain,raw_best_iou_mean,raw_ar50,raw_ar25,tp50,fp50,fn50,f1_50,tp25,fp25,fn25,f1_25,full_gt_target_count,domain_target_count,zero_support_gt_count,paired_identity_tp,persistent_gt_count
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,0,FULL_GT_V2,,,,0,31,14,0.0,2,29,12,0.08888888888888889,14,14,0,0,13
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,,,,2,24,10,0.10526315789473684,6,20,6,0.3157894736842105,14,12,2,0,13
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,0,CAMERA_VISIBLE_INTERSECT_D_V1,,,,6,24,8,0.2727272727272727,8,22,6,0.36363636363636365,14,14,0,,
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,0,RAW_FULL_GT_V2,0.06365166212690611,0.0,0.07142857142857142,,,,,,,,,14,14,0,,
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,0,RAW_COMMON_INPUT_SUPPORT_V2,0.22401532310391284,0.08333333333333333,0.5,,,,,,,,,14,12,2,,
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,1,FULL_GT_V2,,,,0,22,14,0.0,2,20,12,0.1111111111111111,14,14,4,0,13
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,,,,2,17,8,0.13793103448275862,8,11,2,0.5517241379310345,14,10,4,0,13
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,1,CAMERA_VISIBLE_INTERSECT_D_V1,,,,6,15,3,0.4,8,13,1,0.5333333333333333,14,9,5,,
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,1,RAW_FULL_GT_V2,0.038705858655354974,0.0,0.0,,,,,,,,,14,14,4,,
OBS_BASE_FROZEN,0,scene0109_00-scene0109_01,1,RAW_COMMON_INPUT_SUPPORT_V2,0.14585022553391022,0.1,0.3,,,,,,,,,14,10,4,,
