run_id,method,stage,status,train_pair,train_environment_id,start_optimizer_updates,new_optimizer_updates,optimizer_updates,seed,first_total_loss,final_total_loss,first_mask_loss,final_mask_loss,training_runtime_s,peak_gpu_bytes,checkpoint_sha256,checkpoint_byte_count,curve_sha256,curve_byte_count,resume_run_id
20260908_scene0001_obs_full_smoke200_verified_v2,OBS_FULL,smoke,REAL_TRAIN_SMOKE_PASS,scene0001_00-scene0001_01,02b33dfb-be2b-2d54-92d2-cd012b2b3c40,0,200,200,45,35.13191604614258,22.590173721313477,0.059591855853796005,0.025313718244433403,408.1545828948729,3000297984,ca715b6031da563ef56ef8b78969d118669aa47ff839b5480cc9b45eaa6ad72b,11197412,7c99ff75059f9a2e0b6011930c4b6d3f6b8f78e52545db8075516624f630017b,40526,
20260908_scene0001_obs_base_tuned_pilot1000_v2,OBS_BASE_TUNED,pilot,TRAIN_RUN_PASS,scene0001_00-scene0001_01,02b33dfb-be2b-2d54-92d2-cd012b2b3c40,0,1000,1000,45,34.257720947265625,15.697710037231445,0.05961069092154503,0.01622883789241314,1890.9207038842142,2359649792,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,7284252,0ca0f2f90462438043824213fc17646748764291e353808feec5beb08e147dc6,155837,
20260908_scene0001_obs_fuse_pilot1000_v2,OBS_FUSE,pilot,TRAIN_RUN_PASS,scene0001_00-scene0001_01,02b33dfb-be2b-2d54-92d2-cd012b2b3c40,0,1000,1000,45,35.25965118408203,17.341960906982422,0.06013667583465576,0.018378153443336487,1900.4420028980821,2406179840,dc184092068ff587c56deaec1792dbe6a5bc0fa3bc439ae2e511a05eec66079f,8084372,029d444335804e0e44ea33b5651831731bba38b5b84f72660526352032ef9d04,202731,
20260908_scene0001_obs_full_pilot1000_v3,OBS_FULL,pilot,TRAIN_RUN_PASS,scene0001_00-scene0001_01,02b33dfb-be2b-2d54-92d2-cd012b2b3c40,200,800,1000,45,22.575471878051758,16.186208724975586,0.02607017755508423,0.016297170892357826,1781.650460619945,3000297984,1705df1db2626688cf57465569dd53fe02df27549b7a25db4d935d05068b99e0,11197412,8ff8501eaedf1c888ebe1424627af511f6ec2e852dcfc1e9b7f6a81e0e85d578,162574,20260908_scene0001_obs_full_smoke200_verified_v2
