optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,all_gradients_finite
1,34.257720947265625,0.4301895797252655,0.05961069092154503,0.6531230211257935,-0.0,-0.0,34.37685012817383,79.89027404785156,1.0000000665795574,True
2,34.569252014160156,0.44681137800216675,0.059597741812467575,0.664665162563324,-0.0,-0.0,34.521759033203125,120.99622344970703,0.9999999562851362,True
3,34.150997161865234,0.3462335169315338,0.0612032413482666,0.6594225764274597,-0.0,-0.0,33.958805084228516,60.31234359741211,1.0000000003183231,True
4,34.002689361572266,0.415565550327301,0.059126116335392,0.6591872572898865,-0.0,-0.0,34.133012771606445,62.92970657348633,0.9999999715400913,True
5,33.669376373291016,0.39552241563796997,0.055297620594501495,0.6596009731292725,-0.0,-0.0,33.537078857421875,62.25472640991211,1.0000000938352924,True
6,32.88105392456055,0.3071807622909546,0.06119520589709282,0.664379358291626,-0.0,-0.0,33.01054573059082,63.446006774902344,1.0000000698928464,True
7,32.95610809326172,0.37615281343460083,0.05532927066087723,0.6587986946105957,-0.0,-0.0,32.898746490478516,51.57735061645508,0.9999999626888887,True
8,32.94721221923828,0.38322681188583374,0.05401202663779259,0.6566575169563293,-0.0,-0.0,32.62598419189453,81.10722351074219,0.9999999586316326,True
9,32.44092559814453,0.36830130219459534,0.053556252270936966,0.6542455554008484,-0.0,-0.0,32.64069747924805,54.83290100097656,0.9999999591273072,True
10,32.431800842285156,0.37616291642189026,0.053898610174655914,0.6515313386917114,-0.0,-0.0,32.499290466308594,83.37474060058594,1.000000023584107,True
11,31.893957138061523,0.3342161774635315,0.05220952257514,0.6479009985923767,-0.0,-0.0,32.05919170379639,46.52630615234375,1.000000037021436,True
12,32.028587341308594,0.31379836797714233,0.05190638452768326,0.6526061296463013,-0.0,-0.0,31.89644432067871,52.440513610839844,1.00000004858657,True
13,31.21126937866211,0.23306067287921906,0.04949045181274414,0.6424754858016968,-0.0,-0.0,30.999177932739258,50.57762145996094,1.000000068138886,True
14,30.60277557373047,0.21429353952407837,0.05077405646443367,0.6467723846435547,-0.0,-0.0,30.607787132263184,59.62794876098633,1.0000000087829903,True
15,30.657028198242188,0.18666712939739227,0.05018460378050804,0.6411585807800293,-0.0,-0.0,30.533241271972656,50.90587615966797,1.000000026591351,True
16,31.03648567199707,0.3168778717517853,0.05218879505991936,0.6563227772712708,-0.0,-0.0,30.79987144470215,50.296043395996094,1.000000006087248,True
17,29.38509178161621,0.15659864246845245,0.052463602274656296,0.6511332988739014,-0.0,-0.0,30.300976753234863,50.97486114501953,0.9999999666997604,True
18,30.80716896057129,0.30860263109207153,0.05105961114168167,0.649547278881073,-0.0,-0.0,30.386638641357422,91.33518981933594,0.999999963209347,True
19,29.892404556274414,0.27946043014526367,0.04736437276005745,0.647262692451477,-0.0,-0.0,29.952861785888672,46.51237487792969,0.9999999761876094,True
20,29.06387710571289,0.13694274425506592,0.049017202109098434,0.6442341804504395,-0.0,-0.0,29.287166595458984,81.6794204711914,0.9999999832321008,True
21,29.573768615722656,0.1444828361272812,0.04871641844511032,0.6420753598213196,-0.0,-0.0,29.495409965515137,48.539859771728516,0.9999999632946122,True
22,28.52828025817871,0.1327347606420517,0.04908909648656845,0.6550697684288025,-0.0,-0.0,28.618508338928223,48.013755798339844,0.9999999834681147,True
23,28.447206497192383,0.09205170720815659,0.048265017569065094,0.6415762901306152,-0.0,-0.0,29.159335136413574,42.59946060180664,1.0000000032459866,True
24,28.199420928955078,0.08364135026931763,0.05176471546292305,0.6510745286941528,-0.0,-0.0,28.001483917236328,56.00877380371094,1.0000000517134127,True
25,28.108463287353516,0.07006366550922394,0.05253016948699951,0.6465538144111633,-0.0,-0.0,28.254334449768066,101.49208068847656,1.0000000294271554,True
26,27.724218368530273,0.06312951445579529,0.049679696559906006,0.6503596305847168,-0.0,-0.0,27.67671298980713,51.43341827392578,1.0000000096779331,True
27,27.640682220458984,0.09880039840936661,0.046950582414865494,0.6441317796707153,-0.0,-0.0,27.305112838745117,42.08232879638672,0.9999999578130874,True
28,27.742233276367188,0.058180198073387146,0.05080227926373482,0.6487680673599243,-0.0,-0.0,27.57236671447754,52.33518600463867,1.0000000307422847,True
