relation_id,relation_source,t0_owner_entity_id,t1_owner_entity_id,prediction_present,accepted,confidence,inference_state,rejection_reasons,gt_same_identity,gt_large_motion,pair_id,config_id,variant_id
geometry-g1:cdd46a4a2b6f:1:53,geometry-g1,1,1000053,True,False,0.2293018968021761,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:2:18,geometry-g1,2,1000018,True,True,0.8080391775990348,static,,,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:3:123,geometry-g1,3,1000123,True,False,0.25416691745866404,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:4:9,geometry-g1,4,1000009,True,True,0.8239178648683255,static,,,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:5:66,geometry-g1,5,1000066,True,False,0.36440240644010724,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:6:35,geometry-g1,6,1000035,True,False,0.4028953193889841,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:7:9,geometry-g1,7,1000009,True,False,0.32711760539467566,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:8:58,geometry-g1,8,1000058,True,False,0.48083930537280944,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:9:21,geometry-g1,9,1000021,True,True,0.8960617250933055,static,,,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
geometry-g1:cdd46a4a2b6f:10:8,geometry-g1,10,1000008,True,False,0.4076969728461346,unresolved,"ambiguous_assignment,assigned_null,below_null_score,below_relation_score",,,apartment-t0-000766-001021-t1-001217-001472,H3_GEOM,D3_GEOM
