family,exact_implementation,case,state_variant,split,actual_status,result_file,result_sha256,prediction,source_rows,geometry_fixed,owner_changed,changed_owner_rows,unknown_rows,unknown_rate,static_miou,f_miou,CA_AP25,CA_AP50,CA_AR50,predicted_instance_count,dynamic_current_miou,Ghost,Ghost_numerator,Ghost_denominator,BG_F5,Surface_F5,Surface_precision,all_current_free_conflict_count,all_current_free_conflict_denominator,all_current_conflicting_5cm_voxels,delta_vs_native_OVI,S2_reference,delta_vs_S2,direct_control,delta_vs_direct_control,feature_coverage,peak_memory_bytes,new_encoder_forwards,training_updates,passes_original_per_case_gates,selection_policy_id,selection_status
M3,INST_PAIRWISE,room0,,dev,FULL_MAP_EVALUATED,room0_INST_PAIRWISE.json,1eebd29e7e92265a3fb4ab72781760727a11b4cc4914693ab465c73032e814ad,dev/room0/consensus/INST_PAIRWISE.npz,9282303,True,True,9077644,315855,0.034027654559434226,0.3402079894966092,0.6051767566862859,0.15471918210254923,0.08596201522165012,0.20588235294117646,66,,,,,,0.9352861616716538,,,,,0.0,B_SEM_CROVE_S2,-0.10768069972507432,,,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1,MV_CURRENT_AWARE,room0,,dev,FULL_MAP_EVALUATED,room0_MV_CURRENT_AWARE.json,b42988fc4c372dec5ca440d649bbb61794dd659aed71ac54a4b9f6fc4246866c,dev/room0/native_diverse_quality/MV_QUALITY.npz,9282303,True,False,0,13737,0.0014799129052348323,0.4008465711504759,0.4088724409543772,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.06063858165386671,B_SEM_CROVE_S2,-0.04704211807120762,MV_QUALITY,0.0,0.9985200870947651,,0,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1,MV_DIVERSE_MEAN,room0,,dev,FULL_MAP_EVALUATED,room0_MV_DIVERSE_MEAN.json,21ab8eb3c0eef63cdff9269415490b0a73381464a7fdcb0bf739fc14374cc9dd,dev/room0/native_diverse_quality/MV_DIVERSE_MEAN.npz,9282303,True,False,0,13707,0.0014766809486826706,0.3944716302327911,0.407740384974667,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.054263640736181895,B_SEM_CROVE_S2,-0.05341705898889243,MV_TOPK_MEAN,0.040570052049874794,0.9985233190513173,,0,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
BASELINE,MV_NATIVE_CACHED,room0,,dev,FULL_MAP_EVALUATED,room0_MV_NATIVE_CACHED.json,38c14ef0338419c8da84edbddad42c02fb768a3448bedfb36d6197150be2faef,dev/room0/native_cached_batch/MV_NATIVE_CACHED.npz,9282303,True,False,0,13707,0.0014766809486826706,0.3774728720273273,0.5984091425372893,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.037264882530718135,B_SEM_CROVE_S2,-0.07041581719435619,,,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1,MV_QUALITY,room0,,dev,FULL_MAP_EVALUATED,room0_MV_QUALITY.json,554e1fcb531b657973711818acbff765008f760684992e53226c94bf70bc2662,dev/room0/native_diverse_quality/MV_QUALITY.npz,9282303,True,False,0,13737,0.0014799129052348323,0.4008465711504759,0.4088724409543772,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.06063858165386671,B_SEM_CROVE_S2,-0.04704211807120762,MV_DIVERSE_MEAN,0.006374940917684813,0.9985200870947651,,0,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1+M2,MV_QUALITY_GRAPH_BOUNDARY,room0,,dev,FULL_MAP_EVALUATED,room0_MV_QUALITY_GRAPH_BOUNDARY.json,f59641a8938644916f354513b2e14c618d528a6c8fba36f401eb5ae59a8a0a5c,dev/room0/graph_mv_quality_boundary/MV_QUALITY_GRAPH_BOUNDARY.npz,9282303,True,False,0,13737,0.0014799129052348323,0.3979278761488523,0.4092443487390401,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.05771988665224309,B_SEM_CROVE_S2,-0.049960813072831234,MV_QUALITY_GRAPH_GEOM,-0.0011895095013386148,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1+M2,MV_QUALITY_GRAPH_GEOM,room0,,dev,FULL_MAP_EVALUATED,room0_MV_QUALITY_GRAPH_GEOM.json,2f95419f47f069d4b12c749853b8fb3f761ec7f302a2f6de10ad278bb059bd36,dev/room0/graph_mv_quality/MV_QUALITY_GRAPH_GEOM.npz,9282303,True,False,0,13737,0.0014799129052348323,0.3991173856501909,0.40925296365048464,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.058909396153581706,B_SEM_CROVE_S2,-0.04877130357149262,MV_QUALITY_PATCH_ONLY,0.002343028866492236,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1+M2,MV_QUALITY_PATCH_ONLY,room0,,dev,FULL_MAP_EVALUATED,room0_MV_QUALITY_PATCH_ONLY.json,414630b9e49c88f2bf7980b199b2ed0b7ea8e40b9a6b0938f1006b4acd36655c,dev/room0/graph_mv_quality/MV_QUALITY_PATCH_ONLY.npz,9282303,True,False,0,13737,0.0014799129052348323,0.39677435678369866,0.40914314901044385,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.05656636728708947,B_SEM_CROVE_S2,-0.051114332437984855,MV_QUALITY,-0.004072214366777238,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1,MV_REENCODE_DIVERSE,room0,,dev,FULL_MAP_EVALUATED,room0_MV_REENCODE_DIVERSE.json,4e277076a2aeb1adb17cda2bf1b6b451f525c451b7a5a9d5a60ca694e5f8bfc9,dev/room0/reencoded_regions/MV_REENCODE_DIVERSE.npz,9282303,True,False,0,921,9.922106615136351e-05,0.1901252949547732,0.3047729480154744,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,-0.15008269454183598,B_SEM_CROVE_S2,-0.2577633942669103,B_SEM_OVI_REENCODE,-0.0853110575140934,0.9999007789338487,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1,MV_REENCODE_QUALITY,room0,,dev,FULL_MAP_EVALUATED,room0_MV_REENCODE_QUALITY.json,e2bae9f980bffebeaf7f2b47e5229fe4886117b950bf265a021180bc9d5146ad,dev/room0/reencoded_regions/MV_REENCODE_QUALITY.npz,9282303,True,False,0,921,9.922106615136351e-05,0.20452261534300037,0.26095810841540085,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,-0.13568537415360882,B_SEM_CROVE_S2,-0.24336607387868314,MV_REENCODE_DIVERSE,0.014397320388227164,0.9999007789338487,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
