optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,micro_step_pair_ids,pair_exposure_counts,effective_instance_targets,effective_valid_model_rows,effective_valid_regions,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,optimizer_group_1_gradient_norm,all_gradients_finite
1,40.4345645904541,0.542524978518486,0.052617816254496574,0.7153263688087463,4.359254598617554,3.1945853233337402,scene0201_00-scene0201_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 0, ""scene0078_00-scene0078_01"": 0, ""scene0147_00-scene0147_01"": 0, ""scene0156_00-scene0156_01"": 0, ""scene0201_00-scene0201_01"": 1}",59,53074,297,40.4345645904541,131.66134643554688,0.9997320339183102,0.023146115610362294,True
2,50.24695587158203,0.9216760993003845,0.07567249983549118,0.6466194689273834,4.392105579376221,3.76227605342865,scene0147_00-scene0147_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 0, ""scene0078_00-scene0078_01"": 0, ""scene0147_00-scene0147_01"": 1, ""scene0156_00-scene0156_01"": 1, ""scene0201_00-scene0201_01"": 1}",68,86168,253,50.24695587158203,319.82171630859375,0.9999547842951836,0.009508664740571236,True
3,57.05710983276367,1.4397489726543427,0.061485158279538155,0.7102512717247009,4.251313924789429,2.661179304122925,scene0078_00-scene0078_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 1, ""scene0078_00-scene0078_01"": 1, ""scene0147_00-scene0147_01"": 1, ""scene0156_00-scene0156_01"": 1, ""scene0201_00-scene0201_01"": 1}",52,33099,202,57.05710983276367,136.65110778808594,0.9998095923204405,0.019512801069470957,True
4,49.76521682739258,0.7956164479255676,0.07053405791521072,0.6425977051258087,4.29369044303894,3.6175973415374756,scene0156_00-scene0156_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 1, ""scene0063_00-scene0063_02"": 1, ""scene0078_00-scene0078_01"": 1, ""scene0147_00-scene0147_01"": 2, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 1}",68,86168,253,49.76521682739258,131.70892333984375,0.999813321498218,0.019325235324791027,True
5,39.77063751220703,0.6241570562124252,0.0527334064245224,0.6918154060840607,4.00596010684967,2.8511306047439575,scene0078_00-scene0078_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 1, ""scene0078_00-scene0078_01"": 2, ""scene0147_00-scene0147_01"": 2, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 1}",46,46457,263,39.77063751220703,68.75323486328125,0.99926815034053,0.03824995030360551,True
6,56.80049705505371,1.4408814907073975,0.05868493765592575,0.7380765080451965,4.035342335700989,3.0315630435943604,scene0201_00-scene0201_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 2, ""scene0078_00-scene0078_01"": 2, ""scene0147_00-scene0147_01"": 2, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 2}",65,39716,236,56.80049705505371,129.4296875,0.9995434320108151,0.030212481589578222,True
7,47.48306846618652,0.7798733413219452,0.05932110175490379,0.6624618470668793,3.8928557634353638,3.3155434131622314,scene0078_00-scene0078_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 2, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 3, ""scene0156_00-scene0156_01"": 2, ""scene0201_00-scene0201_01"": 2}",60,53172,209,47.48306846618652,345.82489013671875,0.9999109355672561,0.013349249653408354,True
8,50.8951473236084,1.2850262373685837,0.07057442516088486,0.6866991817951202,4.150043487548828,2.904565930366516,scene0156_00-scene0156_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 2, ""scene0063_00-scene0063_02"": 3, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 3, ""scene0156_00-scene0156_01"": 3, ""scene0201_00-scene0201_01"": 2}",60,66095,246,50.8951473236084,114.37199401855469,0.9997294887438164,0.02325628843054704,True
9,36.72788047790527,0.3560313284397125,0.04909632354974747,0.7175933122634888,3.7008376121520996,3.1639033555984497,scene0201_00-scene0201_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 3, ""scene0063_00-scene0063_02"": 3, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 3, ""scene0156_00-scene0156_01"": 3, ""scene0201_00-scene0201_01"": 3}",59,53074,297,36.72788047790527,69.06549835205078,0.9991762045504362,0.04058295157282439,True
10,59.94174003601074,1.4109720885753632,0.07171553000807762,0.6525419354438782,3.8081778287887573,3.215711832046509,scene0063_00-scene0063_02|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 3, ""scene0063_00-scene0063_02"": 4, ""scene0078_00-scene0078_01"": 3, ""scene0147_00-scene0147_01"": 4, ""scene0156_00-scene0156_01"": 3, ""scene0201_00-scene0201_01"": 3}",60,35727,191,59.94174003601074,128.08251953125,0.9991777948337954,0.04054338921736135,True
11,40.38333320617676,0.6086971014738083,0.05406200513243675,0.6980655789375305,3.892838716506958,3.125218987464905,scene0078_00-scene0078_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 3, ""scene0063_00-scene0063_02"": 4, ""scene0078_00-scene0078_01"": 4, ""scene0147_00-scene0147_01"": 4, ""scene0156_00-scene0156_01"": 4, ""scene0201_00-scene0201_01"": 3}",60,83540,264,40.38333320617676,56.642127990722656,0.9992105634779973,0.039726621768543045,True
12,37.751962661743164,0.34431013464927673,0.05046256259083748,0.7110812962055206,3.4861422777175903,3.140858769416809,scene0001_00-scene0001_01|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 4, ""scene0063_00-scene0063_02"": 4, ""scene0078_00-scene0078_01"": 4, ""scene0147_00-scene0147_01"": 4, ""scene0156_00-scene0156_01"": 4, ""scene0201_00-scene0201_01"": 4}",59,53074,297,37.751962661743164,63.755794525146484,0.9986604351192341,0.05174293533310348,True
13,37.945159912109375,0.5221449881792068,0.050992451608181,0.6918861567974091,3.3627679347991943,2.845109224319458,scene0001_00-scene0001_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 5, ""scene0063_00-scene0063_02"": 4, ""scene0078_00-scene0078_01"": 5, ""scene0147_00-scene0147_01"": 4, ""scene0156_00-scene0156_01"": 4, ""scene0201_00-scene0201_01"": 4}",46,46457,263,37.945159912109375,62.787960052490234,0.9986547127711465,0.05185334883757514,True
14,50.80210876464844,1.0844310820102692,0.06685512140393257,0.6872442066669464,3.91152822971344,3.017857313156128,scene0063_00-scene0063_02|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 5, ""scene0063_00-scene0063_02"": 5, ""scene0078_00-scene0078_01"": 5, ""scene0147_00-scene0147_01"": 4, ""scene0156_00-scene0156_01"": 5, ""scene0201_00-scene0201_01"": 4}",60,66095,246,50.80210876464844,100.34977722167969,0.9992863329705625,0.0377725680660286,True
15,43.99563980102539,0.5900735110044479,0.05418006144464016,0.681634247303009,3.450992226600647,3.718099594116211,scene0147_00-scene0147_01|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 5, ""scene0063_00-scene0063_02"": 5, ""scene0078_00-scene0078_01"": 5, ""scene0147_00-scene0147_01"": 5, ""scene0156_00-scene0156_01"": 5, ""scene0201_00-scene0201_01"": 5}",73,59789,243,43.99563980102539,121.20712280273438,0.9987556058193551,0.0498714109486373,True
16,56.0802059173584,1.3238353431224823,0.06712706387042999,0.6368973851203918,3.5251646041870117,2.9828323125839233,scene0147_00-scene0147_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 5, ""scene0063_00-scene0063_02"": 6, ""scene0078_00-scene0078_01"": 5, ""scene0147_00-scene0147_01"": 6, ""scene0156_00-scene0156_01"": 5, ""scene0201_00-scene0201_01"": 5}",60,35727,191,56.0802059173584,241.80453491210938,0.9996860853150124,0.02505343047445867,True
17,39.245004653930664,0.47511158883571625,0.042800674214959145,0.7445487976074219,3.181082010269165,3.251395583152771,scene0201_00-scene0201_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 5, ""scene0063_00-scene0063_02"": 6, ""scene0078_00-scene0078_01"": 6, ""scene0147_00-scene0147_01"": 6, ""scene0156_00-scene0156_01"": 5, ""scene0201_00-scene0201_01"": 6}",65,57161,254,39.245004653930664,104.55744934082031,0.9992504079825261,0.038712892227192854,True
18,34.948280334472656,0.3334300220012665,0.05744554102420807,0.6699130535125732,3.5353647470474243,3.239501476287842,scene0156_00-scene0156_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 6, ""scene0063_00-scene0063_02"": 6, ""scene0078_00-scene0078_01"": 6, ""scene0147_00-scene0147_01"": 6, ""scene0156_00-scene0156_01"": 6, ""scene0201_00-scene0201_01"": 6}",54,79453,307,34.948280334472656,43.68342971801758,0.9988975313794164,0.04694479122988762,True
19,40.46217346191406,0.500541165471077,0.04242163524031639,0.7469784617424011,3.080001711845398,3.3872432708740234,scene0201_00-scene0201_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 6, ""scene0063_00-scene0063_02"": 6, ""scene0078_00-scene0078_01"": 7, ""scene0147_00-scene0147_01"": 6, ""scene0156_00-scene0156_01"": 6, ""scene0201_00-scene0201_01"": 7}",65,57161,254,40.46217346191406,70.89568328857422,0.9980861242987196,0.06184096676760351,True
20,49.535926818847656,0.9323028177022934,0.06581468135118484,0.6895882487297058,3.756672978401184,2.9116841554641724,scene0156_00-scene0156_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 6, ""scene0063_00-scene0063_02"": 7, ""scene0078_00-scene0078_01"": 7, ""scene0147_00-scene0147_01"": 6, ""scene0156_00-scene0156_01"": 7, ""scene0201_00-scene0201_01"": 7}",60,66095,246,49.535926818847656,96.43595123291016,0.9986496809783024,0.05194933914370513,True
