optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,micro_step_pair_ids,pair_exposure_counts,effective_instance_targets,effective_valid_model_rows,effective_valid_regions,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,optimizer_group_1_gradient_norm,all_gradients_finite
207,28.48609161376953,0.04138538986444473,0.03882522415369749,0.6780842542648315,3.325443387031555,4.067713499069214,scene0156_00-scene0156_01|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 69, ""scene0063_00-scene0063_02"": 69, ""scene0078_00-scene0078_01"": 69, ""scene0147_00-scene0147_01"": 69, ""scene0156_00-scene0156_01"": 69, ""scene0201_00-scene0201_01"": 69}",73,90157,298,28.48609161376953,80.46532440185547,0.9999322672581428,0.011645409406641426,True
208,27.01451015472412,0.031566400080919266,0.038540810346603394,0.6412555277347565,3.1800217628479004,3.44948947429657,scene0001_00-scene0001_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 70, ""scene0063_00-scene0063_02"": 69, ""scene0078_00-scene0078_01"": 69, ""scene0147_00-scene0147_01"": 69, ""scene0156_00-scene0156_01"": 70, ""scene0201_00-scene0201_01"": 69}",54,79453,307,27.01451015472412,21.121593475341797,0.9995869116406287,0.02873633713671237,True
209,28.0228910446167,0.08978520520031452,0.038116997107863426,0.6165105700492859,2.5819315910339355,3.668735146522522,scene0078_00-scene0078_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 70, ""scene0063_00-scene0063_02"": 69, ""scene0078_00-scene0078_01"": 70, ""scene0147_00-scene0147_01"": 70, ""scene0156_00-scene0156_01"": 70, ""scene0201_00-scene0201_01"": 69}",60,53172,209,28.0228910446167,46.40489959716797,0.9997945392567942,0.020266257214652056,True
210,29.6915340423584,0.07722906582057476,0.04083063453435898,0.6933097541332245,2.749242663383484,3.676035761833191,scene0201_00-scene0201_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 70, ""scene0063_00-scene0063_02"": 70, ""scene0078_00-scene0078_01"": 70, ""scene0147_00-scene0147_01"": 70, ""scene0156_00-scene0156_01"": 70, ""scene0201_00-scene0201_01"": 70}",65,39716,236,29.6915340423584,101.79232788085938,0.9998793165226112,0.015531716883429423,True
211,28.037450790405273,0.046021029353141785,0.03682353999465704,0.6648240983486176,3.1845563650131226,3.678463101387024,scene0156_00-scene0156_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 70, ""scene0063_00-scene0063_02"": 70, ""scene0078_00-scene0078_01"": 71, ""scene0147_00-scene0147_01"": 70, ""scene0156_00-scene0156_01"": 71, ""scene0201_00-scene0201_01"": 70}",60,83540,264,28.037450790405273,32.700504302978516,0.9994541873716907,0.033036822165204816,True
212,28.187777519226074,0.07043287716805935,0.044918183237314224,0.6453540623188019,2.58601713180542,3.5343202352523804,scene0001_00-scene0001_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 71, ""scene0063_00-scene0063_02"": 71, ""scene0078_00-scene0078_01"": 71, ""scene0147_00-scene0147_01"": 70, ""scene0156_00-scene0156_01"": 71, ""scene0201_00-scene0201_01"": 70}",46,29012,245,28.187777519226074,41.3033447265625,0.9997507751500079,0.02232711541087968,True
213,27.957663536071777,0.1419679056853056,0.03670322149991989,0.6325912475585938,2.7326260805130005,3.949183225631714,scene0147_00-scene0147_01|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 71, ""scene0063_00-scene0063_02"": 71, ""scene0078_00-scene0078_01"": 71, ""scene0147_00-scene0147_01"": 71, ""scene0156_00-scene0156_01"": 71, ""scene0201_00-scene0201_01"": 71}",73,59789,243,27.957663536071777,155.2141571044922,0.9999982403848984,0.0018692372085582923,True
214,29.496675491333008,0.07483342662453651,0.04884025268256664,0.6479833126068115,3.385201573371887,3.6769317388534546,scene0063_00-scene0063_02|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 71, ""scene0063_00-scene0063_02"": 72, ""scene0078_00-scene0078_01"": 71, ""scene0147_00-scene0147_01"": 71, ""scene0156_00-scene0156_01"": 72, ""scene0201_00-scene0201_01"": 71}",60,66095,246,29.496675491333008,39.6131591796875,0.9996273254104578,0.027301324890693427,True
215,26.631179809570312,0.04467459116131067,0.03348442539572716,0.6569698452949524,2.3662158250808716,3.408552646636963,scene0078_00-scene0078_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 72, ""scene0063_00-scene0063_02"": 72, ""scene0078_00-scene0078_01"": 72, ""scene0147_00-scene0147_01"": 71, ""scene0156_00-scene0156_01"": 72, ""scene0201_00-scene0201_01"": 71}",46,46457,263,26.631179809570312,73.20523071289062,0.9998426178779259,0.017739152480241976,True
216,27.980857849121094,0.06802662089467049,0.036020614206790924,0.630826860666275,2.754275918006897,3.948231816291809,scene0147_00-scene0147_01|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 72, ""scene0063_00-scene0063_02"": 72, ""scene0078_00-scene0078_01"": 72, ""scene0147_00-scene0147_01"": 72, ""scene0156_00-scene0156_01"": 72, ""scene0201_00-scene0201_01"": 72}",73,59789,243,27.980857849121094,71.59551239013672,0.9999814244587755,0.006099396100462249,True
217,26.54730224609375,0.07942497171461582,0.040239425376057625,0.5895274877548218,2.6063257455825806,3.6411921977996826,scene0001_00-scene0001_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 73, ""scene0063_00-scene0063_02"": 72, ""scene0078_00-scene0078_01"": 72, ""scene0147_00-scene0147_01"": 73, ""scene0156_00-scene0156_01"": 72, ""scene0201_00-scene0201_01"": 72}",54,49085,252,26.54730224609375,47.375144958496094,0.9999700487495161,0.007739591812576476,True
218,27.882434844970703,0.048932526260614395,0.03758282586932182,0.6660052537918091,3.1837692260742188,3.4274098873138428,scene0156_00-scene0156_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 73, ""scene0063_00-scene0063_02"": 72, ""scene0078_00-scene0078_01"": 73, ""scene0147_00-scene0147_01"": 73, ""scene0156_00-scene0156_01"": 73, ""scene0201_00-scene0201_01"": 72}",60,83540,264,27.882434844970703,33.5084342956543,0.999601840211009,0.028218674499297085,True
219,29.434800148010254,0.060632698237895966,0.042208150029182434,0.6876276135444641,2.729320764541626,3.5644359588623047,scene0063_00-scene0063_02|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 73, ""scene0063_00-scene0063_02"": 73, ""scene0078_00-scene0078_01"": 73, ""scene0147_00-scene0147_01"": 73, ""scene0156_00-scene0156_01"": 73, ""scene0201_00-scene0201_01"": 73}",65,39716,236,29.434800148010254,85.43185424804688,0.9999102572083588,0.013396059713432652,True
220,27.582721710205078,0.07515710964798927,0.036870844662189484,0.6124585866928101,2.593557596206665,3.562758207321167,scene0147_00-scene0147_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 73, ""scene0063_00-scene0063_02"": 73, ""scene0078_00-scene0078_01"": 74, ""scene0147_00-scene0147_01"": 74, ""scene0156_00-scene0156_01"": 73, ""scene0201_00-scene0201_01"": 73}",60,53172,209,27.582721710205078,27.36666488647461,0.9999194502384299,0.012681840017164174,True
